#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0053429e+06  5.0000000e+03
   1.000e+00    8.4813459e+04  4.2129411e+02
   3.000e+00    8.8057309e+04  4.3871213e+02
   5.000e+00    9.7476116e+04  4.9023749e+02
   7.000e+00    1.0594700e+05  5.3123506e+02
   9.000e+00    1.1346975e+05  5.7026154e+02
   1.100e+01    1.2057731e+05  6.0416197e+02
   1.300e+01    1.2992880e+05  6.4596560e+02
   1.500e+01    1.4164379e+05  7.0720011e+02
   1.700e+01    1.5855102e+05  7.8993256e+02
   1.900e+01    1.7859000e+05  8.9116466e+02
   2.100e+01    2.0163020e+05  1.0062784e+03
   2.300e+01    2.2695203e+05  1.1305382e+03
   2.500e+01    2.5170671e+05  1.2596959e+03
   2.700e+01    2.7705064e+05  1.3902217e+03
   2.900e+01    3.0082836e+05  1.5193532e+03
   3.100e+01    3.2925009e+05  1.6450465e+03
   3.300e+01    3.5196207e+05  1.7658786e+03
   3.500e+01    3.8005954e+05  1.8809342e+03
   3.700e+01    3.9928899e+05  1.9896943e+03
   3.900e+01    4.1625310e+05  2.0919379e+03
   4.100e+01    4.3307219e+05  2.1876596e+03
   4.300e+01    4.5346455e+05  2.2770047e+03
   4.500e+01    4.6923298e+05  2.3602181e+03
   4.700e+01    4.8718104e+05  2.4376070e+03
   4.900e+01    5.0544549e+05  2.5095129e+03
   5.100e+01    5.1394141e+05  2.5762919e+03
   5.300e+01    5.3038098e+05  2.6383008e+03
   5.500e+01    5.4018381e+05  2.6958883e+03
   5.700e+01    5.4740754e+05  2.7493883e+03
   5.900e+01    5.6685200e+05  2.7991169e+03
   6.100e+01    5.6696244e+05  2.8453703e+03
   6.300e+01    5.7795288e+05  2.8884239e+03
   6.500e+01    5.8692401e+05  2.9285326e+03
   6.700e+01    5.9689707e+05  2.9659315e+03
   6.900e+01    6.0197382e+05  3.0008364e+03
   7.100e+01    6.0351005e+05  3.0334453e+03
   7.300e+01    6.0969132e+05  3.0639394e+03
   7.500e+01    6.1769091e+05  3.0924845e+03
   7.700e+01    6.2258797e+05  3.1192321e+03
   7.900e+01    6.2925501e+05  3.1443207e+03
   6.100e+01    5.8018698e+05  2.8453703e+03
   3.500e+01    3.7704680e+05  1.8809342e+03
   6.500e+01    5.8545458e+05  2.9285326e+03
