#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0015124e+06  5.0000000e+03
   1.000e+00    1.1689141e+05  5.8900828e+02
   3.000e+00    1.2315068e+05  6.1607654e+02
   5.000e+00    1.3745400e+05  6.8735894e+02
   7.000e+00    1.5109089e+05  7.5311628e+02
   9.000e+00    1.6268005e+05  8.1045467e+02
   1.100e+01    1.7660713e+05  8.8118893e+02
   1.300e+01    1.9603146e+05  9.8313860e+02
   1.500e+01    2.2053013e+05  1.1139992e+03
   1.700e+01    2.5281586e+05  1.2642115e+03
   1.900e+01    2.8559223e+05  1.4240199e+03
   2.100e+01    3.1826005e+05  1.5855905e+03
   2.300e+01    3.4452755e+05  1.7433377e+03
   2.500e+01    3.7852199e+05  1.8936543e+03
   2.700e+01    4.0655831e+05  2.0344738e+03
   2.900e+01    4.3527349e+05  2.1648398e+03
   3.100e+01    4.5288784e+05  2.2845460e+03
   3.300e+01    4.8220447e+05  2.3938632e+03
   3.500e+01    4.9911441e+05  2.4933433e+03
   3.700e+01    5.1568421e+05  2.5836857e+03
   3.900e+01    5.3226315e+05  2.6656491e+03
   4.100e+01    5.4788082e+05  2.7399964e+03
   4.300e+01    5.6481512e+05  2.8074621e+03
   4.500e+01    5.7628218e+05  2.8687333e+03
   4.700e+01    5.8438070e+05  2.9244420e+03
   4.900e+01    5.9363514e+05  2.9751619e+03
   5.100e+01    6.0223909e+05  3.0214095e+03
   5.300e+01    6.0943494e+05  3.0636475e+03
   5.500e+01    6.2623577e+05  3.1022885e+03
   5.700e+01    6.1899756e+05  3.1376997e+03
   5.900e+01    6.3264852e+05  3.1702073e+03
   6.100e+01    6.4195172e+05  3.2001013e+03
   6.300e+01    6.4638988e+05  3.2276390e+03
   6.500e+01    6.5463317e+05  3.2530494e+03
   6.700e+01    6.5366758e+05  3.2765358e+03
   6.900e+01    6.6585058e+05  3.2982794e+03
   7.100e+01    6.6658984e+05  3.3184415e+03
   7.300e+01    6.7115377e+05  3.3371663e+03
   7.500e+01    6.7124462e+05  3.3545825e+03
   7.700e+01    6.7535734e+05  3.3708054e+03
   7.900e+01    6.7653427e+05  3.3859382e+03
   2.500e+01    3.7924821e+05  1.8936543e+03
   4.300e+01    5.6462844e+05  2.8074621e+03
   2.700e+01    4.0959714e+05  2.0344738e+03
