#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9791714e+05  5.0000000e+03
   1.000e+00    1.7990392e+05  9.0098544e+02
   3.000e+00    1.8749057e+05  9.3947388e+02
   5.000e+00    2.1110313e+05  1.0506042e+03
   7.000e+00    2.2688224e+05  1.1460519e+03
   9.000e+00    2.4606166e+05  1.2297948e+03
   1.100e+01    2.6202806e+05  1.3103684e+03
   1.300e+01    2.7835752e+05  1.3927624e+03
   1.500e+01    2.9516273e+05  1.4795585e+03
   1.700e+01    3.1307116e+05  1.5712704e+03
   1.900e+01    3.3420409e+05  1.6670291e+03
   2.100e+01    3.5161727e+05  1.7652976e+03
   2.300e+01    3.7090612e+05  1.8643757e+03
   2.500e+01    3.9531349e+05  1.9626891e+03
   2.700e+01    4.1435474e+05  2.0589219e+03
   2.900e+01    4.2819639e+05  2.1520570e+03
   3.100e+01    4.4880553e+05  2.2413643e+03
   3.300e+01    4.6383262e+05  2.3263655e+03
   3.500e+01    4.8235834e+05  2.4067893e+03
   3.700e+01    4.9082748e+05  2.4825274e+03
   3.900e+01    5.1315535e+05  2.5535945e+03
   4.100e+01    5.2961721e+05  2.6200946e+03
   4.300e+01    5.3354180e+05  2.6821936e+03
   4.500e+01    5.4717648e+05  2.7400974e+03
   4.700e+01    5.6407217e+05  2.7940360e+03
   4.900e+01    5.6764565e+05  2.8442508e+03
   5.100e+01    5.7796518e+05  2.8909857e+03
   5.300e+01    5.8865017e+05  2.9344809e+03
   5.500e+01    5.9755278e+05  2.9749688e+03
   5.700e+01    6.0304925e+05  3.0126709e+03
   5.900e+01    6.1815296e+05  3.0477964e+03
   6.100e+01    6.1568264e+05  3.0805415e+03
   6.300e+01    6.2481720e+05  3.1110886e+03
   6.500e+01    6.3116168e+05  3.1396072e+03
   6.700e+01    6.2979104e+05  3.1662537e+03
   6.900e+01    6.4173987e+05  3.1911724e+03
   7.100e+01    6.4454458e+05  3.2144960e+03
   7.300e+01    6.4648509e+05  3.2363465e+03
   7.500e+01    6.4547650e+05  3.2568356e+03
   7.700e+01    6.5636889e+05  3.2760661e+03
   7.900e+01    6.5919075e+05  3.2941320e+03
   5.100e+01    5.7317894e+05  2.8909857e+03
   1.100e+01    2.6436624e+05  1.3103684e+03
   3.900e+01    5.1272373e+05  2.5535945e+03
