#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0040203e+06  5.0000000e+03
   1.000e+00    3.2110858e+05  1.6137575e+03
   3.000e+00    3.2282357e+05  1.6124978e+03
   5.000e+00    3.3656404e+05  1.7012855e+03
   7.000e+00    3.5393331e+05  1.7757228e+03
   9.000e+00    3.6150880e+05  1.8235562e+03
   1.100e+01    3.8407907e+05  1.9278013e+03
   1.300e+01    4.2008935e+05  2.0821181e+03
   1.500e+01    4.4977156e+05  2.2534243e+03
   1.700e+01    4.7935582e+05  2.4201595e+03
   1.900e+01    5.1558201e+05  2.5722891e+03
   2.100e+01    5.4227094e+05  2.7065543e+03
   2.300e+01    5.6753637e+05  2.8230624e+03
   2.500e+01    5.8318432e+05  2.9233673e+03
   2.700e+01    6.0177824e+05  3.0094930e+03
   2.900e+01    6.2283089e+05  3.0834751e+03
   3.100e+01    6.3537822e+05  3.1471688e+03
   3.300e+01    6.3650817e+05  3.2021866e+03
   3.500e+01    6.4844556e+05  3.2498959e+03
   3.700e+01    6.6227668e+05  3.2914413e+03
   3.900e+01    6.7172661e+05  3.3277752e+03
   4.100e+01    6.6332020e+05  3.3596879e+03
   4.300e+01    6.7794925e+05  3.3878357e+03
   4.500e+01    6.8695864e+05  3.4127644e+03
   4.700e+01    6.7638233e+05  3.4349291e+03
   4.900e+01    6.8913287e+05  3.4547107e+03
   5.100e+01    6.9568447e+05  3.4724290e+03
   5.300e+01    6.9849908e+05  3.4883539e+03
   5.500e+01    6.9600124e+05  3.5027137e+03
   5.700e+01    7.0418563e+05  3.5157024e+03
   5.900e+01    7.0778808e+05  3.5274857e+03
   6.100e+01    7.0587285e+05  3.5382056e+03
   6.300e+01    7.0923648e+05  3.5479840e+03
   6.500e+01    7.0986532e+05  3.5569264e+03
   6.700e+01    7.2216143e+05  3.5651241e+03
   6.900e+01    7.2068726e+05  3.5726563e+03
   7.100e+01    7.0366135e+05  3.5795922e+03
   7.300e+01    7.1541482e+05  3.5859926e+03
   7.500e+01    7.1738627e+05  3.5919105e+03
   7.700e+01    7.2095899e+05  3.5973927e+03
   7.900e+01    7.1344309e+05  3.6024806e+03
   2.100e+01    5.4396423e+05  2.7065543e+03
   9.000e+00    3.6642430e+05  1.8235562e+03
   5.300e+01    6.9797248e+05  3.4883539e+03
