#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9673210e+05  5.0000000e+03
   1.000e+00    9.9899970e+04  5.0118916e+02
   3.000e+00    1.0074267e+05  5.0240251e+02
   5.000e+00    1.0687266e+05  5.3730804e+02
   7.000e+00    1.1577543e+05  5.7460128e+02
   9.000e+00    1.1488093e+05  5.7826052e+02
   1.100e+01    1.1881476e+05  5.9022071e+02
   1.300e+01    1.2179051e+05  6.0847692e+02
   1.500e+01    1.2141673e+05  6.0771608e+02
   1.700e+01    1.2051360e+05  6.0395716e+02
   1.900e+01    1.2363039e+05  6.1403872e+02
   2.100e+01    1.2791343e+05  6.4349286e+02
   2.300e+01    1.3867701e+05  6.9163692e+02
   2.500e+01    1.5119010e+05  7.5575524e+02
   2.700e+01    1.6677065e+05  8.3273356e+02
   2.900e+01    1.8401387e+05  9.1956515e+02
   3.100e+01    2.0415095e+05  1.0135060e+03
   3.300e+01    2.2136644e+05  1.1121326e+03
   3.500e+01    2.4208564e+05  1.2133654e+03
   3.700e+01    2.6292726e+05  1.3154704e+03
   3.900e+01    2.8318809e+05  1.4170438e+03
   4.100e+01    3.0392572e+05  1.5169833e+03
   4.300e+01    3.2250507e+05  1.6144518e+03
   4.500e+01    3.4535157e+05  1.7088390e+03
   4.700e+01    3.5982006e+05  1.7997227e+03
   4.900e+01    3.7584083e+05  1.8868333e+03
   5.100e+01    3.9312004e+05  1.9700226e+03
   5.300e+01    4.1205389e+05  2.0492361e+03
   5.500e+01    4.2300842e+05  2.1244916e+03
   5.700e+01    4.4101481e+05  2.1958595e+03
   5.900e+01    4.5319383e+05  2.2634488e+03
   6.100e+01    4.6774734e+05  2.3273952e+03
   6.300e+01    4.7977762e+05  2.3878515e+03
   6.500e+01    4.8709628e+05  2.4449811e+03
   6.700e+01    5.0259952e+05  2.4989521e+03
   6.900e+01    5.1241933e+05  2.5499335e+03
   7.100e+01    5.2425590e+05  2.5980923e+03
   7.300e+01    5.2654181e+05  2.6435914e+03
   7.500e+01    5.4072903e+05  2.6865879e+03
   7.700e+01    5.4463154e+05  2.7272323e+03
   7.900e+01    5.4926171e+05  2.7656680e+03
   6.500e+01    4.8986561e+05  2.4449811e+03
   6.100e+01    4.6392978e+05  2.3273952e+03
   5.900e+01    4.5097288e+05  2.2634488e+03
