#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9436055e+05  5.0000000e+03
   1.000e+00    1.0305195e+05  5.1466667e+02
   3.000e+00    1.0342346e+05  5.2237419e+02
   5.000e+00    1.1312948e+05  5.6866094e+02
   7.000e+00    1.2062013e+05  6.0475744e+02
   9.000e+00    1.2533553e+05  6.2555302e+02
   1.100e+01    1.3070959e+05  6.5096363e+02
   1.300e+01    1.3279280e+05  6.6850083e+02
   1.500e+01    1.3721164e+05  6.7988477e+02
   1.700e+01    1.3945706e+05  6.9867056e+02
   1.900e+01    1.4522988e+05  7.3301860e+02
   2.100e+01    1.5531056e+05  7.8452026e+02
   2.300e+01    1.6983355e+05  8.5149875e+02
   2.500e+01    1.8616883e+05  9.3115301e+02
   2.700e+01    2.0506895e+05  1.0204879e+03
   2.900e+01    2.2457896e+05  1.1166790e+03
   3.100e+01    2.4563835e+05  1.2172171e+03
   3.300e+01    2.6588482e+05  1.3199607e+03
   3.500e+01    2.8598810e+05  1.4231439e+03
   3.700e+01    3.0417809e+05  1.5253567e+03
   3.900e+01    3.2363939e+05  1.6255111e+03
   4.100e+01    3.4298563e+05  1.7227983e+03
   4.300e+01    3.6462472e+05  1.8166448e+03
   4.500e+01    3.8685604e+05  1.9066695e+03
   4.700e+01    3.9853266e+05  1.9926453e+03
   4.900e+01    4.1598790e+05  2.0744655e+03
   5.100e+01    4.2871362e+05  2.1521151e+03
   5.300e+01    4.4299319e+05  2.2256478e+03
   5.500e+01    4.6061519e+05  2.2951670e+03
   5.700e+01    4.6421164e+05  2.3608108e+03
   5.900e+01    4.8103650e+05  2.4227401e+03
   6.100e+01    4.9935529e+05  2.4811300e+03
   6.300e+01    5.0433952e+05  2.5361626e+03
   6.500e+01    5.1586481e+05  2.5880221e+03
   6.700e+01    5.2894701e+05  2.6368911e+03
   6.900e+01    5.3455851e+05  2.6829478e+03
   7.100e+01    5.4461934e+05  2.7263643e+03
   7.300e+01    5.5309640e+05  2.7673054e+03
   7.500e+01    5.6173743e+05  2.8059276e+03
   7.700e+01    5.6555156e+05  2.8423792e+03
   7.900e+01    5.7050922e+05  2.8767996e+03
   1.700e+01    1.3900119e+05  6.9867056e+02
   5.700e+01    4.7226863e+05  2.3608108e+03
   3.100e+01    2.4281337e+05  1.2172171e+03
