[1N]
#         NCYC   INTENSITY (EXP)       ERROR (EXP)  INTENSITY (CALC)
             0    9.95908850e+05    5.00000000e+03    9.95905452e+05 
             1    4.83530710e+05    2.40884140e+03    4.79584968e+05 
             3    5.00744630e+05    2.51001630e+03    5.03839427e+05 
             5    5.44349160e+05    2.70983390e+03    5.41747467e+05 
             7    5.90103690e+05    2.96641530e+03    5.93095209e+05 
             9    6.39021490e+05    3.18056490e+03    6.36235570e+05 
            11    6.67143380e+05    3.33605160e+03    6.67473111e+05 
            13    6.84908220e+05    3.44605740e+03    6.89492510e+05 
            15    7.03814340e+05    3.52460350e+03    7.05165020e+05 
            17    7.16554870e+05    3.58180550e+03    7.16550088e+05 
            19    7.25866230e+05    3.62438770e+03    7.25008916e+05 
            21    7.27761520e+05    3.65676580e+03    7.31431057e+05 
            23    7.32296600e+05    3.68186900e+03    7.36404405e+05 
            25    7.41074030e+05    3.70167620e+03    7.40324894e+05 
            27    7.41775110e+05    3.71755140e+03    7.43464818e+05 
            29    7.46969400e+05    3.73045430e+03    7.46015367e+05 
            31    7.51056070e+05    3.74107330e+03    7.48113456e+05 
            33    7.43799380e+05    3.74991100e+03    7.49858933e+05 
            35    7.52423930e+05    3.75734050e+03    7.51325854e+05 
            37    7.57337790e+05    3.76364330e+03    7.52569993e+05 
            39    7.52685470e+05    3.76903430e+03    7.53633951e+05 
            41    7.51676270e+05    3.77368010e+03    7.54550693e+05 
            43    7.58383980e+05    3.77771110e+03    7.55346026e+05 
            45    7.57204450e+05    3.78123060e+03    7.56040375e+05 
            47    7.60254530e+05    3.78432110e+03    7.56650069e+05 
            49    7.56102540e+05    3.78704940e+03    7.57188282e+05 
            51    7.52278640e+05    3.78946970e+03    7.57665735e+05 
            53    7.57908200e+05    3.79162660e+03    7.58091219e+05 
            55    7.57020080e+05    3.79355680e+03    7.58471999e+05 
            57    7.62000750e+05    3.79529090e+03    7.58814116e+05 
            59    7.60106100e+05    3.79685450e+03    7.59122631e+05 
            61    7.53459470e+05    3.79826940e+03    7.59401803e+05 
            63    7.55369650e+05    3.79955370e+03    7.59655241e+05 
            65    7.63503640e+05    3.80072300e+03    7.59886016e+05 
            67    7.62942450e+05    3.80179070e+03    7.60096756e+05 
            69    7.58118930e+05    3.80276810e+03    7.60289720e+05 
            71    7.60729070e+05    3.80366530e+03    7.60466858e+05 
            73    7.62593320e+05    3.80449070e+03    7.60629860e+05 
            75    7.62832770e+05    3.80525180e+03    7.60780198e+05 
            77    7.64525990e+05    3.80595520e+03    7.60919156e+05 
            79    7.62297660e+05    3.80660660e+03    7.61047862e+05 
            43    7.55183990e+05    3.77771110e+03    7.55346026e+05 
            65    7.59160790e+05    3.80072300e+03    7.59886016e+05 
            73    7.64914700e+05    3.80449070e+03    7.60629860e+05 

