#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9707518e+05  5.0000000e+03
   1.000e+00    2.6428129e+05  1.3172568e+03
   3.000e+00    2.7881641e+05  1.3902309e+03
   5.000e+00    2.9320716e+05  1.4672600e+03
   7.000e+00    3.1247527e+05  1.5532567e+03
   9.000e+00    3.2976042e+05  1.6498704e+03
   1.100e+01    3.5259007e+05  1.7653190e+03
   1.300e+01    3.7964187e+05  1.8987984e+03
   1.500e+01    4.0645359e+05  2.0425433e+03
   1.700e+01    4.3846601e+05  2.1882157e+03
   1.900e+01    4.6737350e+05  2.3295223e+03
   2.100e+01    4.8894016e+05  2.4625286e+03
   2.300e+01    5.2268232e+05  2.5851968e+03
   2.500e+01    5.4084446e+05  2.6968051e+03
   2.700e+01    5.5380626e+05  2.7974597e+03
   2.900e+01    5.8396332e+05  2.8877417e+03
   3.100e+01    5.9476123e+05  2.9684711e+03
   3.300e+01    6.1056658e+05  3.0405584e+03
   3.500e+01    6.2625982e+05  3.1049165e+03
   3.700e+01    6.4008529e+05  3.1624122e+03
   3.900e+01    6.4304327e+05  3.2138419e+03
   4.100e+01    6.5181969e+05  3.2599226e+03
   4.300e+01    6.5358264e+05  3.3012912e+03
   4.500e+01    6.6852692e+05  3.3385090e+03
   4.700e+01    6.6906623e+05  3.3720677e+03
   4.900e+01    6.6986514e+05  3.4023969e+03
   5.100e+01    6.8922016e+05  3.4298711e+03
   5.300e+01    6.8962806e+05  3.4548168e+03
   5.500e+01    6.9761808e+05  3.4775186e+03
   5.700e+01    7.0158840e+05  3.4982248e+03
   5.900e+01    7.0694211e+05  3.5171524e+03
   6.100e+01    7.0837471e+05  3.5344911e+03
   6.300e+01    7.0036283e+05  3.5504073e+03
   6.500e+01    7.1044611e+05  3.5650472e+03
   6.700e+01    7.1742719e+05  3.5785392e+03
   6.900e+01    7.2074538e+05  3.5909969e+03
   7.100e+01    7.2078603e+05  3.6025203e+03
   7.300e+01    7.2025409e+05  3.6131982e+03
   7.500e+01    7.2609613e+05  3.6231095e+03
   7.700e+01    7.2509149e+05  3.6323240e+03
   7.900e+01    7.3479944e+05  3.6409043e+03
   5.300e+01    6.8517654e+05  3.4548168e+03
   5.000e+00    2.9165654e+05  1.4672600e+03
   3.300e+01    6.0815562e+05  3.0405584e+03
