#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9977746e+05  5.0000000e+03
   1.000e+00    5.8101520e+04  2.9128588e+02
   2.000e+00    6.1858609e+04  3.0854331e+02
   3.000e+00    6.5433870e+04  3.2682195e+02
   4.000e+00    6.9102158e+04  3.4469182e+02
   5.000e+00    7.3042442e+04  3.6635425e+02
   6.000e+00    7.7487384e+04  3.9066747e+02
   7.000e+00    8.3231372e+04  4.1528051e+02
   8.000e+00    8.8943872e+04  4.4226091e+02
   9.000e+00    9.5739749e+04  4.7525044e+02
   1.000e+01    1.0370203e+05  5.1669693e+02
   1.100e+01    1.1377540e+05  5.6756120e+02
   1.200e+01    1.2475912e+05  6.2772855e+02
   1.300e+01    1.3924469e+05  6.9639173e+02
   1.400e+01    1.5445318e+05  7.7252097e+02
   1.500e+01    1.7033581e+05  8.5472934e+02
   1.600e+01    1.8932477e+05  9.4183633e+02
   1.700e+01    2.0432983e+05  1.0323704e+03
   1.800e+01    2.2487843e+05  1.1253132e+03
   1.900e+01    2.4340921e+05  1.2193452e+03
   2.000e+01    2.6296743e+05  1.3137346e+03
   2.100e+01    2.8267412e+05  1.4074103e+03
   2.200e+01    2.9704859e+05  1.4999418e+03
   2.300e+01    3.1832790e+05  1.5905158e+03
   2.400e+01    3.3520055e+05  1.6789601e+03
   2.500e+01    3.5256893e+05  1.7646840e+03
   2.600e+01    3.6816728e+05  1.8477108e+03
   2.700e+01    3.8388733e+05  1.9276233e+03
   2.800e+01    4.0099352e+05  2.0045791e+03
   2.900e+01    4.1317915e+05  2.0782871e+03
   3.000e+01    4.2603956e+05  2.1489888e+03
   3.100e+01    4.4751839e+05  2.2164809e+03
   3.200e+01    4.5915955e+05  2.2810509e+03
   3.300e+01    4.6620996e+05  2.3425541e+03
   3.400e+01    4.7926949e+05  2.4012980e+03
   3.500e+01    4.9619080e+05  2.4571758e+03
   3.600e+01    5.0202831e+05  2.5104975e+03
   3.700e+01    5.0777952e+05  2.5611804e+03
   3.800e+01    5.2392394e+05  2.6095261e+03
   3.900e+01    5.3095785e+05  2.6554665e+03
   4.000e+01    5.4193688e+05  2.6992886e+03
   2.500e+01    3.5094059e+05  1.7646840e+03
   3.000e+01    4.3162135e+05  2.1489888e+03
   3.000e+00    6.5414147e+04  3.2682195e+02
