#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0005831e+06  5.0000000e+03
   1.000e+00    3.3930269e+05  1.6999071e+03
   3.000e+00    3.3936033e+05  1.7116187e+03
   5.000e+00    3.4545124e+05  1.7188677e+03
   7.000e+00    3.4205602e+05  1.7189086e+03
   9.000e+00    3.3935822e+05  1.7021422e+03
   1.100e+01    3.4182456e+05  1.7111416e+03
   1.300e+01    3.4146785e+05  1.7051224e+03
   1.500e+01    3.4411203e+05  1.7265618e+03
   1.700e+01    3.5629302e+05  1.7874700e+03
   1.900e+01    3.7284833e+05  1.8790547e+03
   2.100e+01    3.9958602e+05  1.9889913e+03
   2.300e+01    4.2008645e+05  2.1071625e+03
   2.500e+01    4.4393283e+05  2.2265043e+03
   2.700e+01    4.6328323e+05  2.3425163e+03
   2.900e+01    4.8871375e+05  2.4525700e+03
   3.100e+01    5.1294721e+05  2.5553128e+03
   3.300e+01    5.3247379e+05  2.6502221e+03
   3.500e+01    5.4422909e+05  2.7372915e+03
   3.700e+01    5.6313586e+05  2.8168194e+03
   3.900e+01    5.7927597e+05  2.8892699e+03
   4.100e+01    5.8641368e+05  2.9551847e+03
   4.300e+01    6.0147048e+05  3.0151274e+03
   4.500e+01    6.1568875e+05  3.0696513e+03
   4.700e+01    6.2686609e+05  3.1192807e+03
   4.900e+01    6.2789589e+05  3.1645018e+03
   5.100e+01    6.3718112e+05  3.2057585e+03
   5.300e+01    6.5203303e+05  3.2434525e+03
   5.500e+01    6.5382866e+05  3.2779450e+03
   5.700e+01    6.6266433e+05  3.3095590e+03
   5.900e+01    6.6338609e+05  3.3385831e+03
   6.100e+01    6.7653747e+05  3.3652741e+03
   6.300e+01    6.7884299e+05  3.3898609e+03
   6.500e+01    6.8688561e+05  3.4125473e+03
   6.700e+01    6.8300237e+05  3.4335145e+03
   6.900e+01    6.8823055e+05  3.4529242e+03
   7.100e+01    6.8947419e+05  3.4709207e+03
   7.300e+01    6.9272807e+05  3.4876327e+03
   7.500e+01    6.9545391e+05  3.5031752e+03
   7.700e+01    7.0357337e+05  3.5176515e+03
   7.900e+01    7.0236409e+05  3.5311539e+03
   1.100e+01    3.4186426e+05  1.7111416e+03
   5.100e+01    6.3829203e+05  3.2057585e+03
   6.100e+01    6.7356622e+05  3.3652741e+03
