#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0011268e+06  5.0000000e+03
   1.000e+00    2.4441308e+05  1.2073141e+03
   3.000e+00    2.4994382e+05  1.2529141e+03
   5.000e+00    2.5488618e+05  1.2739991e+03
   7.000e+00    2.6373304e+05  1.3166163e+03
   9.000e+00    2.7813974e+05  1.3926086e+03
   1.100e+01    3.1087784e+05  1.5463946e+03
   1.300e+01    3.4737965e+05  1.7467881e+03
   1.500e+01    3.9087106e+05  1.9597867e+03
   1.700e+01    4.3758429e+05  2.1649678e+03
   1.900e+01    4.7032461e+05  2.3525926e+03
   2.100e+01    5.0380704e+05  2.5193200e+03
   2.300e+01    5.3690066e+05  2.6651851e+03
   2.500e+01    5.5664956e+05  2.7917942e+03
   2.700e+01    5.7542785e+05  2.9013365e+03
   2.900e+01    5.9806502e+05  2.9960832e+03
   3.100e+01    6.1217376e+05  3.0781547e+03
   3.300e+01    6.3533577e+05  3.1494317e+03
   3.500e+01    6.4368622e+05  3.2115360e+03
   3.700e+01    6.5173261e+05  3.2658447e+03
   3.900e+01    6.6600911e+05  3.3135177e+03
   4.100e+01    6.7434847e+05  3.3555278e+03
   4.300e+01    6.7411438e+05  3.3926904e+03
   4.500e+01    6.8662273e+05  3.4256887e+03
   4.700e+01    6.8821864e+05  3.4550968e+03
   4.900e+01    6.9975300e+05  3.4813980e+03
   5.100e+01    7.0558852e+05  3.5050005e+03
   5.300e+01    7.0866267e+05  3.5262500e+03
   5.500e+01    7.1019745e+05  3.5454408e+03
   5.700e+01    7.1220978e+05  3.5628237e+03
   5.900e+01    7.2111057e+05  3.5786137e+03
   6.100e+01    7.1700791e+05  3.5929955e+03
   6.300e+01    7.2952016e+05  3.6061285e+03
   6.500e+01    7.2254381e+05  3.6181505e+03
   6.700e+01    7.2553911e+05  3.6291815e+03
   6.900e+01    7.2229683e+05  3.6393256e+03
   7.100e+01    7.3358730e+05  3.6486742e+03
   7.300e+01    7.3010871e+05  3.6573072e+03
   7.500e+01    7.3258124e+05  3.6652949e+03
   7.700e+01    7.3339021e+05  3.6726993e+03
   7.900e+01    7.3825516e+05  3.6795753e+03
   7.100e+01    7.2620965e+05  3.6486742e+03
   5.500e+01    7.0509942e+05  3.5454408e+03
   5.900e+01    7.1542297e+05  3.5786137e+03
