#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9230326e+05  5.0000000e+03
   1.000e+00    1.5402971e+05  7.6500923e+02
   2.000e+00    1.6398540e+05  8.1367670e+02
   3.000e+00    1.7113695e+05  8.6533173e+02
   4.000e+00    1.8564825e+05  9.2338029e+02
   5.000e+00    1.9561247e+05  9.8672178e+02
   6.000e+00    2.1066051e+05  1.0547905e+03
   7.000e+00    2.2785803e+05  1.1301368e+03
   8.000e+00    2.4271389e+05  1.2146794e+03
   9.000e+00    2.6041179e+05  1.3083531e+03
   1.000e+01    2.8101837e+05  1.4096334e+03
   1.100e+01    3.0216765e+05  1.5162563e+03
   1.200e+01    3.2173590e+05  1.6259263e+03
   1.300e+01    3.4819968e+05  1.7364313e+03
   1.400e+01    3.6683622e+05  1.8460290e+03
   1.500e+01    3.9191819e+05  1.9532063e+03
   1.600e+01    4.1067664e+05  2.0569714e+03
   1.700e+01    4.3329556e+05  2.1564874e+03
   1.800e+01    4.4792978e+05  2.2513536e+03
   1.900e+01    4.6566302e+05  2.3412157e+03
   2.000e+01    4.8939699e+05  2.4260530e+03
   2.100e+01    4.9909500e+05  2.5058053e+03
   2.200e+01    5.1372267e+05  2.5806627e+03
   2.300e+01    5.2972825e+05  2.6507227e+03
   2.400e+01    5.3990853e+05  2.7162734e+03
   2.500e+01    5.5755821e+05  2.7774835e+03
   2.600e+01    5.6696167e+05  2.8346718e+03
   2.700e+01    5.8111450e+05  2.8880282e+03
   2.800e+01    5.8551078e+05  2.9378658e+03
   2.900e+01    5.9869796e+05  2.9843694e+03
   3.000e+01    6.0808723e+05  3.0278286e+03
   3.100e+01    6.1756940e+05  3.0684110e+03
   3.200e+01    6.2432930e+05  3.1063756e+03
   3.300e+01    6.2723259e+05  3.1418682e+03
   3.400e+01    6.3716610e+05  3.1751165e+03
   3.500e+01    6.3724775e+05  3.2062440e+03
   3.600e+01    6.4476493e+05  3.2354487e+03
   3.700e+01    6.5054609e+05  3.2628336e+03
   3.800e+01    6.6280759e+05  3.2885699e+03
   3.900e+01    6.6311648e+05  3.3127425e+03
   4.000e+01    6.7401237e+05  3.3354992e+03
   2.400e+01    5.4255832e+05  2.7162734e+03
   5.000e+00    1.9710497e+05  9.8672178e+02
   3.000e+00    1.7387534e+05  8.6533173e+02
