#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9968192e+05  5.0000000e+03
   1.000e+00    2.0394238e+05  1.0200725e+03
   2.000e+00    2.1267809e+05  1.0763181e+03
   3.000e+00    2.2653051e+05  1.1358889e+03
   4.000e+00    2.3994112e+05  1.2006374e+03
   5.000e+00    2.5241430e+05  1.2699277e+03
   6.000e+00    2.6872219e+05  1.3433121e+03
   7.000e+00    2.8454476e+05  1.4219616e+03
   8.000e+00    3.0144103e+05  1.5067680e+03
   9.000e+00    3.1801775e+05  1.5974777e+03
   1.000e+01    3.4016140e+05  1.6929123e+03
   1.100e+01    3.5474458e+05  1.7913875e+03
   1.200e+01    3.8070812e+05  1.8911934e+03
   1.300e+01    3.9448341e+05  1.9906926e+03
   1.400e+01    4.1703925e+05  2.0885875e+03
   1.500e+01    4.3849804e+05  2.1837735e+03
   1.600e+01    4.5809205e+05  2.2755225e+03
   1.700e+01    4.7165628e+05  2.3632474e+03
   1.800e+01    4.9668987e+05  2.4466710e+03
   1.900e+01    5.0515502e+05  2.5255746e+03
   2.000e+01    5.2047477e+05  2.5999706e+03
   2.100e+01    5.3219320e+05  2.6698637e+03
   2.200e+01    5.4654219e+05  2.7354260e+03
   2.300e+01    5.5792355e+05  2.7967799e+03
   2.400e+01    5.7309517e+05  2.8541705e+03
   2.500e+01    5.8092362e+05  2.9077710e+03
   2.600e+01    5.9176390e+05  2.9578478e+03
   2.700e+01    5.9616066e+05  3.0045859e+03
   2.800e+01    6.1304079e+05  3.0482449e+03
   2.900e+01    6.2415945e+05  3.0890015e+03
   3.000e+01    6.2219247e+05  3.1270947e+03
   3.100e+01    6.3458603e+05  3.1626839e+03
   3.200e+01    6.4069131e+05  3.1959822e+03
   3.300e+01    6.4070993e+05  3.2271283e+03
   3.400e+01    6.5028279e+05  3.2563089e+03
   3.500e+01    6.5717911e+05  3.2836423e+03
   3.600e+01    6.6688792e+05  3.3092903e+03
   3.700e+01    6.6918392e+05  3.3333525e+03
   3.800e+01    6.6532273e+05  3.3559683e+03
   3.900e+01    6.7835191e+05  3.3772206e+03
   4.000e+01    6.7689951e+05  3.3972294e+03
   3.400e+01    6.5209309e+05  3.2563089e+03
   1.200e+01    3.8241759e+05  1.8911934e+03
   9.000e+00    3.2009008e+05  1.5974777e+03
