#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0046515e+06  5.0000000e+03
   1.000e+00    2.6478985e+05  1.3173550e+03
   2.000e+00    2.7541932e+05  1.3891997e+03
   3.000e+00    2.9350759e+05  1.4661850e+03
   4.000e+00    3.0933765e+05  1.5491458e+03
   5.000e+00    3.2613388e+05  1.6364787e+03
   6.000e+00    3.4501696e+05  1.7286434e+03
   7.000e+00    3.6584863e+05  1.8263641e+03
   8.000e+00    3.8277388e+05  1.9289703e+03
   9.000e+00    4.0832505e+05  2.0346416e+03
   1.000e+01    4.2944361e+05  2.1411919e+03
   1.100e+01    4.4780116e+05  2.2465108e+03
   1.200e+01    4.7085683e+05  2.3489219e+03
   1.300e+01    4.8963645e+05  2.4471313e+03
   1.400e+01    5.0927605e+05  2.5403353e+03
   1.500e+01    5.2325993e+05  2.6280144e+03
   1.600e+01    5.4304743e+05  2.7099983e+03
   1.700e+01    5.5622879e+05  2.7862517e+03
   1.800e+01    5.6878844e+05  2.8569522e+03
   1.900e+01    5.8431880e+05  2.9223061e+03
   2.000e+01    5.9686095e+05  2.9826414e+03
   2.100e+01    6.0783262e+05  3.0382559e+03
   2.200e+01    6.2115286e+05  3.0895165e+03
   2.300e+01    6.2580621e+05  3.1367326e+03
   2.400e+01    6.3510847e+05  3.1802551e+03
   2.500e+01    6.4270319e+05  3.2203686e+03
   2.600e+01    6.4349625e+05  3.2573854e+03
   2.700e+01    6.5950892e+05  3.2915522e+03
   2.800e+01    6.6780166e+05  3.3231368e+03
   2.900e+01    6.8010344e+05  3.3523462e+03
   3.000e+01    6.7534705e+05  3.3794055e+03
   3.100e+01    6.8395248e+05  3.4044852e+03
   3.200e+01    6.8587042e+05  3.4277729e+03
   3.300e+01    6.8554911e+05  3.4494076e+03
   3.400e+01    6.9141381e+05  3.4695448e+03
   3.500e+01    6.9526056e+05  3.4882973e+03
   3.600e+01    7.0349661e+05  3.5057939e+03
   3.700e+01    7.0795112e+05  3.5221261e+03
   3.800e+01    7.0944680e+05  3.5374007e+03
   3.900e+01    7.1212666e+05  3.5516918e+03
   4.000e+01    7.1387344e+05  3.5650884e+03
   3.000e+01    6.7471438e+05  3.3794055e+03
   1.900e+01    5.8498373e+05  2.9223061e+03
   7.000e+00    3.6511439e+05  1.8263641e+03
