#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0009271e+06  5.0000000e+03
   1.000e+00    7.1137489e+04  3.5268810e+02
   2.000e+00    7.4227611e+04  3.7273484e+02
   3.000e+00    7.8121899e+04  3.9397125e+02
   4.000e+00    8.3431440e+04  4.1607451e+02
   5.000e+00    8.8240239e+04  4.3977528e+02
   6.000e+00    9.3044506e+04  4.6524205e+02
   7.000e+00    9.8651244e+04  4.9192660e+02
   8.000e+00    1.0420741e+05  5.2081954e+02
   9.000e+00    1.0969347e+05  5.5397940e+02
   1.000e+01    1.1775178e+05  5.9321264e+02
   1.100e+01    1.2813293e+05  6.3951373e+02
   1.200e+01    1.3929676e+05  6.9310581e+02
   1.300e+01    1.5062343e+05  7.5366048e+02
   1.400e+01    1.6423326e+05  8.2050299e+02
   1.500e+01    1.7799927e+05  8.9276220e+02
   1.600e+01    1.9429063e+05  9.6947410e+02
   1.700e+01    2.0975261e+05  1.0496531e+03
   1.800e+01    2.2324616e+05  1.1323415e+03
   1.900e+01    2.4231147e+05  1.2166428e+03
   2.000e+01    2.5979925e+05  1.3017430e+03
   2.100e+01    2.8059118e+05  1.3869222e+03
   2.200e+01    2.9464557e+05  1.4715591e+03
   2.300e+01    3.1064516e+05  1.5551296e+03
   2.400e+01    3.2632796e+05  1.6372025e+03
   2.500e+01    3.4608174e+05  1.7174316e+03
   2.600e+01    3.6019263e+05  1.7955473e+03
   2.700e+01    3.7480682e+05  1.8713475e+03
   2.800e+01    3.8873586e+05  1.9446884e+03
   2.900e+01    4.0356342e+05  2.0154755e+03
   3.000e+01    4.1158496e+05  2.0836560e+03
   3.100e+01    4.2993271e+05  2.1492111e+03
   3.200e+01    4.4408916e+05  2.2121499e+03
   3.300e+01    4.5481844e+05  2.2725037e+03
   3.400e+01    4.6809816e+05  2.3303211e+03
   3.500e+01    4.7874047e+05  2.3856642e+03
   3.600e+01    4.8738046e+05  2.4386050e+03
   3.700e+01    4.9795031e+05  2.4892227e+03
   3.800e+01    5.0797480e+05  2.5376014e+03
   3.900e+01    5.1340316e+05  2.5838279e+03
   4.000e+01    5.2576274e+05  2.6279907e+03
   5.000e+00    8.8048809e+04  4.3977528e+02
   3.600e+01    4.8746581e+05  2.4386050e+03
   3.700e+01    4.9714720e+05  2.4892227e+03
