#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9473077e+05  5.0000000e+03
   1.000e+00    1.4975043e+05  7.5187886e+02
   3.000e+00    1.5483011e+05  7.7791818e+02
   5.000e+00    1.6214837e+05  8.0320692e+02
   7.000e+00    1.6609463e+05  8.2890030e+02
   9.000e+00    1.7318559e+05  8.5393769e+02
   1.100e+01    1.7763515e+05  8.8707133e+02
   1.300e+01    1.9175832e+05  9.6247422e+02
   1.500e+01    2.1502331e+05  1.0796733e+03
   1.700e+01    2.4198390e+05  1.2257072e+03
   1.900e+01    2.8048582e+05  1.3875308e+03
   2.100e+01    3.1079743e+05  1.5548796e+03
   2.300e+01    3.4522836e+05  1.7204814e+03
   2.500e+01    3.7495478e+05  1.8796036e+03
   2.700e+01    4.0744590e+05  2.0294604e+03
   2.900e+01    4.3671163e+05  2.1686588e+03
   3.100e+01    4.5786064e+05  2.2967461e+03
   3.300e+01    4.7854550e+05  2.4138697e+03
   3.500e+01    5.0548858e+05  2.5205353e+03
   3.700e+01    5.2245787e+05  2.6174420e+03
   3.900e+01    5.4585712e+05  2.7053750e+03
   4.100e+01    5.6003019e+05  2.7851371e+03
   4.300e+01    5.7145688e+05  2.8575086e+03
   4.500e+01    5.8387540e+05  2.9232237e+03
   4.700e+01    6.0188727e+05  2.9829598e+03
   4.900e+01    6.0773704e+05  3.0373333e+03
   5.100e+01    6.1625943e+05  3.0868998e+03
   5.300e+01    6.3045020e+05  3.1321574e+03
   5.500e+01    6.3740535e+05  3.1735503e+03
   5.700e+01    6.4181139e+05  3.2114740e+03
   5.900e+01    6.5713300e+05  3.2462800e+03
   6.100e+01    6.6217078e+05  3.2782802e+03
   6.300e+01    6.6230710e+05  3.3077520e+03
   6.500e+01    6.7136280e+05  3.3349414e+03
   6.700e+01    6.6903826e+05  3.3600674e+03
   6.900e+01    6.7520272e+05  3.3833248e+03
   7.100e+01    6.8018973e+05  3.4048871e+03
   7.300e+01    6.8523682e+05  3.4249091e+03
   7.500e+01    6.8662809e+05  3.4435293e+03
   7.700e+01    6.8570094e+05  3.4608713e+03
   7.900e+01    7.0104988e+05  3.4770461e+03
   3.900e+01    5.3833974e+05  2.7053750e+03
   6.300e+01    6.6042977e+05  3.3077520e+03
   9.000e+00    1.7130284e+05  8.5393769e+02
