#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9991294e+05  5.0000000e+03
   1.000e+00    1.6578463e+05  8.3600171e+02
   3.000e+00    1.7719800e+05  8.8895660e+02
   5.000e+00    1.8989250e+05  9.4505430e+02
   7.000e+00    2.0175203e+05  1.0059214e+03
   9.000e+00    2.1759613e+05  1.0722285e+03
   1.100e+01    2.2710277e+05  1.1456540e+03
   1.300e+01    2.4620651e+05  1.2305632e+03
   1.500e+01    2.6428717e+05  1.3286445e+03
   1.700e+01    2.8967575e+05  1.4382276e+03
   1.900e+01    3.0971351e+05  1.5559306e+03
   2.100e+01    3.3509833e+05  1.6780283e+03
   2.300e+01    3.5915963e+05  1.8011669e+03
   2.500e+01    3.8548895e+05  1.9226408e+03
   2.700e+01    4.0833745e+05  2.0404361e+03
   2.900e+01    4.3043682e+05  2.1531652e+03
   3.100e+01    4.5191675e+05  2.2599595e+03
   3.300e+01    4.6513109e+05  2.3603556e+03
   3.500e+01    4.9049097e+05  2.4541918e+03
   3.700e+01    5.0615948e+05  2.5415217e+03
   3.900e+01    5.2229393e+05  2.6225448e+03
   4.100e+01    5.3642432e+05  2.6975542e+03
   4.300e+01    5.5301617e+05  2.7668981e+03
   4.500e+01    5.6620346e+05  2.8309511e+03
   4.700e+01    5.7883598e+05  2.8900955e+03
   4.900e+01    5.8909617e+05  2.9447074e+03
   5.100e+01    6.0414982e+05  2.9951489e+03
   5.300e+01    6.0781379e+05  3.0417626e+03
   5.500e+01    6.1525821e+05  3.0848687e+03
   5.700e+01    6.2935418e+05  3.1247643e+03
   5.900e+01    6.2924178e+05  3.1617229e+03
   6.100e+01    6.4227350e+05  3.1959952e+03
   6.300e+01    6.4555600e+05  3.2278103e+03
   6.500e+01    6.5198450e+05  3.2573772e+03
   6.700e+01    6.6030501e+05  3.2848857e+03
   6.900e+01    6.6027661e+05  3.3105084e+03
   7.100e+01    6.7149832e+05  3.3344022e+03
   7.300e+01    6.7363462e+05  3.3567094e+03
   7.500e+01    6.7894689e+05  3.3775593e+03
   7.700e+01    6.7382579e+05  3.3970691e+03
   7.900e+01    6.8208226e+05  3.4153455e+03
   7.300e+01    6.7539798e+05  3.3567094e+03
   1.500e+01    2.6522262e+05  1.3286445e+03
   7.700e+01    6.8054672e+05  3.3970691e+03
