#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9744038e+05  5.0000000e+03
   1.000e+00    4.4261570e+05  2.2191738e+03
   2.000e+00    4.6372857e+05  2.3034132e+03
   3.000e+00    4.8121274e+05  2.3916056e+03
   4.000e+00    4.9219598e+05  2.4816815e+03
   5.000e+00    5.1321274e+05  2.5727457e+03
   6.000e+00    5.3269190e+05  2.6645150e+03
   7.000e+00    5.5013121e+05  2.7557279e+03
   8.000e+00    5.6887581e+05  2.8445686e+03
   9.000e+00    5.8826386e+05  2.9293360e+03
   1.000e+01    6.0032953e+05  3.0088204e+03
   1.100e+01    6.1565486e+05  3.0823189e+03
   1.200e+01    6.2148690e+05  3.1495930e+03
   1.300e+01    6.3956644e+05  3.2107056e+03
   1.400e+01    6.5425140e+05  3.2659494e+03
   1.500e+01    6.6111205e+05  3.3157184e+03
   1.600e+01    6.7627997e+05  3.3604815e+03
   1.700e+01    6.8396473e+05  3.4007045e+03
   1.800e+01    6.8880131e+05  3.4368571e+03
   1.900e+01    6.9174383e+05  3.4693661e+03
   2.000e+01    7.0409621e+05  3.4986373e+03
   2.100e+01    7.0798652e+05  3.5250252e+03
   2.200e+01    7.0788724e+05  3.5488587e+03
   2.300e+01    7.1925320e+05  3.5704191e+03
   2.400e+01    7.2232627e+05  3.5899656e+03
   2.500e+01    7.2061326e+05  3.6077170e+03
   2.600e+01    7.3006737e+05  3.6238748e+03
   2.700e+01    7.2880150e+05  3.6386080e+03
   2.800e+01    7.2830283e+05  3.6520728e+03
   2.900e+01    7.3559411e+05  3.6643995e+03
   3.000e+01    7.3079061e+05  3.6757095e+03
   3.100e+01    7.3781275e+05  3.6861035e+03
   3.200e+01    7.3554938e+05  3.6956763e+03
   3.300e+01    7.3628663e+05  3.7045061e+03
   3.400e+01    7.4476446e+05  3.7126676e+03
   3.500e+01    7.4736624e+05  3.7202218e+03
   3.600e+01    7.4351746e+05  3.7272277e+03
   3.700e+01    7.4050088e+05  3.7337335e+03
   3.800e+01    7.4464870e+05  3.7397863e+03
   3.900e+01    7.4880887e+05  3.7454242e+03
   4.000e+01    7.4841468e+05  3.7506850e+03
   3.300e+01    7.4646997e+05  3.7045061e+03
   1.800e+01    6.8666659e+05  3.4368571e+03
   2.000e+00    4.6215647e+05  2.3034132e+03
