#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9826374e+05  5.0000000e+03
   1.000e+00    4.1464806e+05  2.0657412e+03
   3.000e+00    4.2352401e+05  2.1211413e+03
   5.000e+00    4.5252800e+05  2.2579148e+03
   7.000e+00    5.0375521e+05  2.5128163e+03
   9.000e+00    5.5289823e+05  2.7840494e+03
   1.100e+01    5.9910041e+05  3.0067841e+03
   1.300e+01    6.3823566e+05  3.1761485e+03
   1.500e+01    6.5435086e+05  3.3027896e+03
   1.700e+01    6.7966418e+05  3.3979506e+03
   1.900e+01    6.9293787e+05  3.4703790e+03
   2.100e+01    7.0206167e+05  3.5263534e+03
   2.300e+01    7.1428073e+05  3.5702858e+03
   2.500e+01    7.2220549e+05  3.6052786e+03
   2.700e+01    7.2870047e+05  3.6335340e+03
   2.900e+01    7.2179312e+05  3.6566360e+03
   3.100e+01    7.4133700e+05  3.6757407e+03
   3.300e+01    7.3662685e+05  3.6917037e+03
   3.500e+01    7.4492054e+05  3.7051677e+03
   3.700e+01    7.4291228e+05  3.7166213e+03
   3.900e+01    7.4316599e+05  3.7264410e+03
   4.100e+01    7.4677980e+05  3.7349203e+03
   4.300e+01    7.6032499e+05  3.7422901e+03
   4.500e+01    7.5563304e+05  3.7487342e+03
   4.700e+01    7.4961234e+05  3.7544003e+03
   4.900e+01    7.5276344e+05  3.7594079e+03
   5.100e+01    7.5701503e+05  3.7638546e+03
   5.300e+01    7.5577569e+05  3.7678206e+03
   5.500e+01    7.5461825e+05  3.7713726e+03
   5.700e+01    7.5423024e+05  3.7745659e+03
   5.900e+01    7.5145447e+05  3.7774471e+03
   6.100e+01    7.5886876e+05  3.7800554e+03
   6.300e+01    7.6067030e+05  3.7824241e+03
   6.500e+01    7.6537017e+05  3.7845816e+03
   6.700e+01    7.5526514e+05  3.7865523e+03
   6.900e+01    7.6015293e+05  3.7883571e+03
   7.100e+01    7.5789865e+05  3.7900141e+03
   7.300e+01    7.6308500e+05  3.7915390e+03
   7.500e+01    7.5823215e+05  3.7929454e+03
   7.700e+01    7.5640953e+05  3.7942453e+03
   7.900e+01    7.5269634e+05  3.7954492e+03
   6.500e+01    7.5963555e+05  3.7845816e+03
   4.300e+01    7.4907375e+05  3.7422901e+03
   7.000e+00    5.0539569e+05  2.5128163e+03
