#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9781674e+05  5.0000000e+03
   1.000e+00    1.0269129e+05  5.1551473e+02
   3.000e+00    1.0726716e+05  5.3702196e+02
   5.000e+00    1.1229414e+05  5.5991090e+02
   7.000e+00    1.1685416e+05  5.8130747e+02
   9.000e+00    1.2155843e+05  6.0509147e+02
   1.100e+01    1.2634055e+05  6.3077030e+02
   1.300e+01    1.3057258e+05  6.5390763e+02
   1.500e+01    1.3576888e+05  6.8255704e+02
   1.700e+01    1.4489813e+05  7.2477738e+02
   1.900e+01    1.5568010e+05  7.8333091e+02
   2.100e+01    1.7189826e+05  8.5734059e+02
   2.300e+01    1.8994491e+05  9.4433485e+02
   2.500e+01    2.0853816e+05  1.0413586e+03
   2.700e+01    2.2824769e+05  1.1454841e+03
   2.900e+01    2.5169296e+05  1.2540432e+03
   3.100e+01    2.7278515e+05  1.3647295e+03
   3.300e+01    2.9419219e+05  1.4756312e+03
   3.500e+01    3.1693603e+05  1.5852230e+03
   3.700e+01    3.3617555e+05  1.6923338e+03
   3.900e+01    3.6189430e+05  1.7961019e+03
   4.100e+01    3.8056090e+05  1.8959263e+03
   4.300e+01    3.9541480e+05  1.9914191e+03
   4.500e+01    4.1679399e+05  2.0823613e+03
   4.700e+01    4.3622984e+05  2.1686652e+03
   4.900e+01    4.4928770e+05  2.2503421e+03
   5.100e+01    4.6722979e+05  2.3274762e+03
   5.300e+01    4.7118917e+05  2.4002036e+03
   5.500e+01    4.8968254e+05  2.4686953e+03
   5.700e+01    5.0457677e+05  2.5331450e+03
   5.900e+01    5.1484665e+05  2.5937589e+03
   6.100e+01    5.3412032e+05  2.6507485e+03
   6.300e+01    5.3966293e+05  2.7043254e+03
   6.500e+01    5.5004382e+05  2.7546973e+03
   6.700e+01    5.6105284e+05  2.8020655e+03
   6.900e+01    5.7126413e+05  2.8466228e+03
   7.100e+01    5.7413199e+05  2.8885528e+03
   7.300e+01    5.9563246e+05  2.9280291e+03
   7.500e+01    5.9043246e+05  2.9652150e+03
   7.700e+01    5.9770401e+05  3.0002636e+03
   7.900e+01    6.0739213e+05  3.0333181e+03
   3.100e+01    2.7485569e+05  1.3647295e+03
   1.900e+01    1.5648651e+05  7.8333091e+02
   2.300e+01    1.8878541e+05  9.4433485e+02
