#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0040398e+06  5.0000000e+03
   1.000e+00    2.3748621e+05  1.1862355e+03
   2.000e+00    2.4676873e+05  1.2349487e+03
   3.000e+00    2.5915943e+05  1.2898737e+03
   4.000e+00    2.6976768e+05  1.3522466e+03
   5.000e+00    2.9062474e+05  1.4540117e+03
   6.000e+00    3.2000668e+05  1.6059119e+03
   7.000e+00    3.5664307e+05  1.7874544e+03
   8.000e+00    3.9636176e+05  1.9776584e+03
   9.000e+00    4.3080485e+05  2.1626255e+03
   1.000e+01    4.7275809e+05  2.3347949e+03
   1.100e+01    4.9759154e+05  2.4908951e+03
   1.200e+01    5.2147995e+05  2.6302193e+03
   1.300e+01    5.5187408e+05  2.7534491e+03
   1.400e+01    5.7063706e+05  2.8619263e+03
   1.500e+01    5.9087175e+05  2.9572323e+03
   1.600e+01    6.0960404e+05  3.0409602e+03
   1.700e+01    6.1942453e+05  3.1146018e+03
   1.800e+01    6.3732636e+05  3.1794993e+03
   1.900e+01    6.4108044e+05  3.2368326e+03
   2.000e+01    6.6387753e+05  3.2876248e+03
   2.100e+01    6.6869703e+05  3.3327560e+03
   2.200e+01    6.7508141e+05  3.3729795e+03
   2.300e+01    6.7980759e+05  3.4089392e+03
   2.400e+01    6.8543909e+05  3.4411850e+03
   2.500e+01    6.9719118e+05  3.4701870e+03
   2.600e+01    6.9791950e+05  3.4963473e+03
   2.700e+01    7.0082631e+05  3.5200112e+03
   2.800e+01    7.0481940e+05  3.5414752e+03
   2.900e+01    7.0947510e+05  3.5609950e+03
   3.000e+01    7.1426781e+05  3.5787916e+03
   3.100e+01    7.2179785e+05  3.5950565e+03
   3.200e+01    7.2182649e+05  3.6099562e+03
   3.300e+01    7.2206143e+05  3.6236358e+03
   3.400e+01    7.2588136e+05  3.6362220e+03
   3.500e+01    7.2473383e+05  3.6478261e+03
   3.600e+01    7.2682831e+05  3.6585457e+03
   3.700e+01    7.2676222e+05  3.6684670e+03
   3.800e+01    7.3271286e+05  3.6776659e+03
   3.900e+01    7.3720819e+05  3.6862101e+03
   4.000e+01    7.3918873e+05  3.6941592e+03
   2.900e+01    7.1339693e+05  3.5609950e+03
   1.400e+01    5.7515090e+05  2.8619263e+03
   4.000e+01    7.3515459e+05  3.6941592e+03
