#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0087154e+06  5.0000000e+03
   1.000e+00    4.1418642e+05  2.0691096e+03
   2.000e+00    4.2080943e+05  2.1060898e+03
   3.000e+00    4.1249113e+05  2.0694138e+03
   4.000e+00    4.1787052e+05  2.0832456e+03
   5.000e+00    4.1870653e+05  2.0930206e+03
   6.000e+00    4.2992117e+05  2.1615333e+03
   7.000e+00    4.5366349e+05  2.2811821e+03
   8.000e+00    4.8336522e+05  2.4235578e+03
   9.000e+00    5.1195784e+05  2.5684707e+03
   1.000e+01    5.4399410e+05  2.7052229e+03
   1.100e+01    5.6974057e+05  2.8292442e+03
   1.200e+01    5.9041911e+05  2.9393306e+03
   1.300e+01    6.0827608e+05  3.0359480e+03
   1.400e+01    6.2272166e+05  3.1202894e+03
   1.500e+01    6.3893065e+05  3.1937832e+03
   1.600e+01    6.5445261e+05  3.2578518e+03
   1.700e+01    6.6982242e+05  3.3138040e+03
   1.800e+01    6.7562913e+05  3.3627962e+03
   1.900e+01    6.8021052e+05  3.4058278e+03
   2.000e+01    6.8888134e+05  3.4437519e+03
   2.100e+01    6.9378048e+05  3.4772921e+03
   2.200e+01    6.9866808e+05  3.5070600e+03
   2.300e+01    7.0606343e+05  3.5335723e+03
   2.400e+01    7.1214905e+05  3.5572660e+03
   2.500e+01    7.2227202e+05  3.5785111e+03
   2.600e+01    7.1971157e+05  3.5976219e+03
   2.700e+01    7.2787983e+05  3.6148658e+03
   2.800e+01    7.3251108e+05  3.6304713e+03
   2.900e+01    7.2921406e+05  3.6446342e+03
   3.000e+01    7.3738507e+05  3.6575225e+03
   3.100e+01    7.3647961e+05  3.6692816e+03
   3.200e+01    7.3447081e+05  3.6800368e+03
   3.300e+01    7.3895791e+05  3.6898971e+03
   3.400e+01    7.3987613e+05  3.6989575e+03
   3.500e+01    7.4059881e+05  3.7073008e+03
   3.600e+01    7.4226146e+05  3.7149997e+03
   3.700e+01    7.4496035e+05  3.7221179e+03
   3.800e+01    7.4736128e+05  3.7287117e+03
   3.900e+01    7.4366128e+05  3.7348308e+03
   4.000e+01    7.4806873e+05  3.7405192e+03
   2.300e+01    7.0133511e+05  3.5335723e+03
   1.900e+01    6.8205378e+05  3.4058278e+03
   2.000e+00    4.2253132e+05  2.1060898e+03
