#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0072559e+06  5.0000000e+03
   1.000e+00    2.4842280e+05  1.2488860e+03
   3.000e+00    2.6276843e+05  1.3111189e+03
   5.000e+00    2.7419610e+05  1.3766174e+03
   7.000e+00    2.9009465e+05  1.4458822e+03
   9.000e+00    3.0377705e+05  1.5191587e+03
   1.100e+01    3.1908616e+05  1.5968565e+03
   1.300e+01    3.3740297e+05  1.6797063e+03
   1.500e+01    3.5516750e+05  1.7677062e+03
   1.700e+01    3.7211330e+05  1.8598506e+03
   1.900e+01    3.8945493e+05  1.9545139e+03
   2.100e+01    4.0699732e+05  2.0499046e+03
   2.300e+01    4.2615059e+05  2.1443686e+03
   2.500e+01    4.4867006e+05  2.2365386e+03
   2.700e+01    4.6560401e+05  2.3253778e+03
   2.900e+01    4.8234609e+05  2.4101646e+03
   3.100e+01    4.9969719e+05  2.4904490e+03
   3.300e+01    5.1665430e+05  2.5660009e+03
   3.500e+01    5.2251108e+05  2.6367588e+03
   3.700e+01    5.4138232e+05  2.7027852e+03
   3.900e+01    5.5294001e+05  2.7642293e+03
   4.100e+01    5.6653234e+05  2.8212973e+03
   4.300e+01    5.7448755e+05  2.8742302e+03
   4.500e+01    5.8286414e+05  2.9232868e+03
   4.700e+01    5.9181463e+05  2.9687317e+03
   4.900e+01    6.0326913e+05  3.0108268e+03
   5.100e+01    6.1035854e+05  3.0498257e+03
   5.300e+01    6.1918726e+05  3.0859698e+03
   5.500e+01    6.2652400e+05  3.1194867e+03
   5.700e+01    6.2974322e+05  3.1505885e+03
   5.900e+01    6.3273736e+05  3.1794721e+03
   6.100e+01    6.3955731e+05  3.2063190e+03
   6.300e+01    6.4314790e+05  3.2312960e+03
   6.500e+01    6.4717000e+05  3.2545561e+03
   6.700e+01    6.5597734e+05  3.2762392e+03
   6.900e+01    6.6086200e+05  3.2964729e+03
   7.100e+01    6.6470398e+05  3.3153740e+03
   7.300e+01    6.6923269e+05  3.3330487e+03
   7.500e+01    6.6954140e+05  3.3495940e+03
   7.700e+01    6.7262517e+05  3.3650982e+03
   7.900e+01    6.7858472e+05  3.3796419e+03
   2.900e+01    4.8414818e+05  2.4101646e+03
   3.500e+01    5.2550017e+05  2.6367588e+03
   4.700e+01    5.9663313e+05  2.9687317e+03
