#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0001509e+06  5.0000000e+03
   1.000e+00    1.3698130e+05  6.8256145e+02
   2.000e+00    1.4459938e+05  7.2394268e+02
   3.000e+00    1.5298823e+05  7.6675527e+02
   4.000e+00    1.6356608e+05  8.1678585e+02
   5.000e+00    1.7308429e+05  8.7206336e+02
   6.000e+00    1.8664758e+05  9.3131026e+02
   7.000e+00    1.9873546e+05  9.9914302e+02
   8.000e+00    2.1528331e+05  1.0789262e+03
   9.000e+00    2.3184386e+05  1.1707647e+03
   1.000e+01    2.5607535e+05  1.2726395e+03
   1.100e+01    2.7502453e+05  1.3816155e+03
   1.200e+01    2.9791641e+05  1.4947884e+03
   1.300e+01    3.2310163e+05  1.6094246e+03
   1.400e+01    3.4288227e+05  1.7234214e+03
   1.500e+01    3.6826101e+05  1.8349733e+03
   1.600e+01    3.8903354e+05  1.9429351e+03
   1.700e+01    4.0648173e+05  2.0463354e+03
   1.800e+01    4.2937925e+05  2.1447435e+03
   1.900e+01    4.4795340e+05  2.2377574e+03
   2.000e+01    4.6291377e+05  2.3253857e+03
   2.100e+01    4.8530018e+05  2.4075610e+03
   2.200e+01    4.9105920e+05  2.4845245e+03
   2.300e+01    5.1082120e+05  2.5563809e+03
   2.400e+01    5.1625702e+05  2.6234727e+03
   2.500e+01    5.3799141e+05  2.6859782e+03
   2.600e+01    5.4723039e+05  2.7442660e+03
   2.700e+01    5.5554232e+05  2.7985334e+03
   2.800e+01    5.7329481e+05  2.8491363e+03
   2.900e+01    5.8122383e+05  2.8962632e+03
   3.000e+01    5.8742047e+05  2.9402396e+03
   3.100e+01    5.9653532e+05  2.9812334e+03
   3.200e+01    6.0516108e+05  3.0195336e+03
   3.300e+01    6.1008431e+05  3.0552836e+03
   3.400e+01    6.1780095e+05  3.0887356e+03
   3.500e+01    6.2553808e+05  3.1200094e+03
   3.600e+01    6.3277751e+05  3.1493232e+03
   3.700e+01    6.3810614e+05  3.1767750e+03
   3.800e+01    6.3868906e+05  3.2025530e+03
   3.900e+01    6.4850855e+05  3.2267363e+03
   4.000e+01    6.4900357e+05  3.2494871e+03
   1.400e+01    3.4414572e+05  1.7234214e+03
   6.000e+00    1.8667746e+05  9.3131026e+02
   1.000e+00    1.3598159e+05  6.8256145e+02
