#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0023846e+06  5.0000000e+03
   1.000e+00    4.0614320e+05  2.0324202e+03
   2.000e+00    4.3352752e+05  2.1501506e+03
   3.000e+00    4.6263294e+05  2.3137300e+03
   4.000e+00    5.0827918e+05  2.5505695e+03
   5.000e+00    5.5687007e+05  2.7876214e+03
   6.000e+00    5.9463410e+05  2.9828356e+03
   7.000e+00    6.2657952e+05  3.1351718e+03
   8.000e+00    6.4940030e+05  3.2516984e+03
   9.000e+00    6.6845488e+05  3.3413967e+03
   1.000e+01    6.8029080e+05  3.4109325e+03
   1.100e+01    6.9080740e+05  3.4656392e+03
   1.200e+01    7.0118474e+05  3.5091626e+03
   1.300e+01    7.0401968e+05  3.5442856e+03
   1.400e+01    7.1632086e+05  3.5729337e+03
   1.500e+01    7.2424225e+05  3.5965866e+03
   1.600e+01    7.2562365e+05  3.6162981e+03
   1.700e+01    7.3023756e+05  3.6328914e+03
   1.800e+01    7.2898317e+05  3.6469719e+03
   1.900e+01    7.2615811e+05  3.6590196e+03
   2.000e+01    7.3354202e+05  3.6693993e+03
   2.100e+01    7.3892391e+05  3.6784031e+03
   2.200e+01    7.3673672e+05  3.6862604e+03
   2.300e+01    7.3684769e+05  3.6931559e+03
   2.400e+01    7.3842052e+05  3.6992395e+03
   2.500e+01    7.4035994e+05  3.7046318e+03
   2.600e+01    7.4190608e+05  3.7094341e+03
   2.700e+01    7.4777613e+05  3.7137273e+03
   2.800e+01    7.4549592e+05  3.7175821e+03
   2.900e+01    7.4701247e+05  3.7210541e+03
   3.000e+01    7.4848242e+05  3.7241939e+03
   3.100e+01    7.4773879e+05  3.7270405e+03
   3.200e+01    7.5028933e+05  3.7296308e+03
   3.300e+01    7.4501992e+05  3.7319929e+03
   3.400e+01    7.4490584e+05  3.7341545e+03
   3.500e+01    7.4613642e+05  3.7361357e+03
   3.600e+01    7.4491297e+05  3.7379578e+03
   3.700e+01    7.4539884e+05  3.7396355e+03
   3.800e+01    7.5279486e+05  3.7411854e+03
   3.900e+01    7.5019089e+05  3.7426184e+03
   4.000e+01    7.5565635e+05  3.7439476e+03
   2.700e+01    7.4109676e+05  3.7137273e+03
   3.000e+01    7.4400878e+05  3.7241939e+03
   2.100e+01    7.3240687e+05  3.6784031e+03
