#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0036737e+06  5.0000000e+03
   1.000e+00    1.9397721e+05  9.6275794e+02
   3.000e+00    2.0353201e+05  1.0161774e+03
   5.000e+00    2.1464093e+05  1.0687551e+03
   7.000e+00    2.2529675e+05  1.1314944e+03
   9.000e+00    2.4079193e+05  1.2025766e+03
   1.100e+01    2.6092023e+05  1.3027554e+03
   1.300e+01    2.8802357e+05  1.4356096e+03
   1.500e+01    3.1829639e+05  1.5900470e+03
   1.700e+01    3.4703560e+05  1.7534134e+03
   1.900e+01    3.8304391e+05  1.9160169e+03
   2.100e+01    4.1512650e+05  2.0715961e+03
   2.300e+01    4.4457444e+05  2.2166469e+03
   2.500e+01    4.7244662e+05  2.3495970e+03
   2.700e+01    4.9357630e+05  2.4701136e+03
   2.900e+01    5.1661855e+05  2.5785999e+03
   3.100e+01    5.3373069e+05  2.6758549e+03
   3.300e+01    5.4959768e+05  2.7628570e+03
   3.500e+01    5.6847975e+05  2.8406319e+03
   3.700e+01    5.7770682e+05  2.9101787e+03
   3.900e+01    5.9483090e+05  2.9724295e+03
   4.100e+01    6.0463337e+05  3.0282322e+03
   4.300e+01    6.1656651e+05  3.0783452e+03
   4.500e+01    6.2160514e+05  3.1234401e+03
   4.700e+01    6.3263877e+05  3.1641074e+03
   4.900e+01    6.3514913e+05  3.2008644e+03
   5.100e+01    6.5196279e+05  3.2341629e+03
   5.300e+01    6.5055092e+05  3.2643973e+03
   5.500e+01    6.6111894e+05  3.2919118e+03
   5.700e+01    6.6118956e+05  3.3170070e+03
   5.900e+01    6.6632187e+05  3.3399455e+03
   6.100e+01    6.7612341e+05  3.3609575e+03
   6.300e+01    6.6985980e+05  3.3802445e+03
   6.500e+01    6.7326263e+05  3.3979837e+03
   6.700e+01    6.8093696e+05  3.4143311e+03
   6.900e+01    6.8324630e+05  3.4294241e+03
   7.100e+01    6.8564650e+05  3.4433844e+03
   7.300e+01    6.9241603e+05  3.4563194e+03
   7.500e+01    6.9668266e+05  3.4683249e+03
   7.700e+01    6.9689718e+05  3.4794856e+03
   7.900e+01    6.9899819e+05  3.4898775e+03
   7.700e+01    6.9769582e+05  3.4794856e+03
   6.500e+01    6.7420476e+05  3.3979837e+03
   2.100e+01    4.1809618e+05  2.0715961e+03
