#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9134548e+05  5.0000000e+03
   1.000e+00    5.3717785e+04  2.6817226e+02
   2.000e+00    5.6943480e+04  2.8515943e+02
   3.000e+00    6.0352052e+04  3.0279955e+02
   4.000e+00    6.4534870e+04  3.2043637e+02
   5.000e+00    6.8713223e+04  3.4350076e+02
   6.000e+00    7.3791227e+04  3.6780389e+02
   7.000e+00    7.8794089e+04  3.9276121e+02
   8.000e+00    8.4765231e+04  4.2299150e+02
   9.000e+00    9.2394733e+04  4.6261166e+02
   1.000e+01    1.0381930e+05  5.1337688e+02
   1.100e+01    1.1490534e+05  5.7532653e+02
   1.200e+01    1.3013897e+05  6.4758502e+02
   1.300e+01    1.4616078e+05  7.2865529e+02
   1.400e+01    1.6291835e+05  8.1702369e+02
   1.500e+01    1.8172425e+05  9.1082474e+02
   1.600e+01    2.0117063e+05  1.0086094e+03
   1.700e+01    2.2188806e+05  1.1086240e+03
   1.800e+01    2.4095566e+05  1.2097681e+03
   1.900e+01    2.6099638e+05  1.3106106e+03
   2.000e+01    2.8257319e+05  1.4104711e+03
   2.100e+01    3.0448949e+05  1.5082840e+03
   2.200e+01    3.1916339e+05  1.6037426e+03
   2.300e+01    3.4017027e+05  1.6961015e+03
   2.400e+01    3.5550196e+05  1.7853361e+03
   2.500e+01    3.7099547e+05  1.8709463e+03
   2.600e+01    3.9071258e+05  1.9530977e+03
   2.700e+01    4.0403276e+05  2.0314628e+03
   2.800e+01    4.1770992e+05  2.1063217e+03
   2.900e+01    4.3581460e+05  2.1774621e+03
   3.000e+01    4.4263510e+05  2.2452237e+03
   3.100e+01    4.6170749e+05  2.3094670e+03
   3.200e+01    4.7559482e+05  2.3705550e+03
   3.300e+01    4.8406722e+05  2.4283924e+03
   3.400e+01    4.9855623e+05  2.4833423e+03
   3.500e+01    5.0590916e+05  2.5353349e+03
   3.600e+01    5.1929216e+05  2.5847198e+03
   3.700e+01    5.2772796e+05  2.6314414e+03
   3.800e+01    5.3717275e+05  2.6758283e+03
   3.900e+01    5.4448130e+05  2.7178319e+03
   4.000e+01    5.5524699e+05  2.7577570e+03
   7.000e+00    7.8081256e+04  3.9276121e+02
   2.100e+01    3.0316679e+05  1.5082840e+03
   1.600e+01    2.0036721e+05  1.0086094e+03
