#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9211311e+05  5.0000000e+03
   1.000e+00    2.1065223e+05  1.0488843e+03
   2.000e+00    2.1299618e+05  1.0669965e+03
   3.000e+00    2.1334324e+05  1.0701001e+03
   4.000e+00    2.1683901e+05  1.0852071e+03
   5.000e+00    2.2425890e+05  1.1084481e+03
   6.000e+00    2.2298901e+05  1.1132025e+03
   7.000e+00    2.2980868e+05  1.1504601e+03
   8.000e+00    2.4689345e+05  1.2311797e+03
   9.000e+00    2.6783603e+05  1.3450817e+03
   1.000e+01    2.9573204e+05  1.4790712e+03
   1.100e+01    3.2579866e+05  1.6224092e+03
   1.200e+01    3.5805528e+05  1.7676645e+03
   1.300e+01    3.8548140e+05  1.9094032e+03
   1.400e+01    4.0825902e+05  2.0448690e+03
   1.500e+01    4.3730956e+05  2.1718503e+03
   1.600e+01    4.5387075e+05  2.2900149e+03
   1.700e+01    4.7729297e+05  2.3987145e+03
   1.800e+01    5.0202147e+05  2.4986404e+03
   1.900e+01    5.1522900e+05  2.5897934e+03
   2.000e+01    5.2874498e+05  2.6731853e+03
   2.100e+01    5.5674076e+05  2.7490322e+03
   2.200e+01    5.5987141e+05  2.8183591e+03
   2.300e+01    5.7947856e+05  2.8814135e+03
   2.400e+01    5.8645542e+05  2.9391189e+03
   2.500e+01    5.9842494e+05  2.9916870e+03
   2.600e+01    6.0579461e+05  3.0399101e+03
   2.700e+01    6.2238243e+05  3.0839471e+03
   2.800e+01    6.3069133e+05  3.1244639e+03
   2.900e+01    6.3013412e+05  3.1615688e+03
   3.000e+01    6.3993314e+05  3.1958176e+03
   3.100e+01    6.4853582e+05  3.2272766e+03
   3.200e+01    6.5074333e+05  3.2564096e+03
   3.300e+01    6.5553804e+05  3.2832503e+03
   3.400e+01    6.6061530e+05  3.3081873e+03
   3.500e+01    6.6903571e+05  3.3312301e+03
   3.600e+01    6.7070804e+05  3.3527060e+03
   3.700e+01    6.7555153e+05  3.3726070e+03
   3.800e+01    6.7817184e+05  3.3912108e+03
   3.900e+01    6.8237254e+05  3.4084968e+03
   4.000e+01    6.8754195e+05  3.4247027e+03
   2.600e+01    6.0699715e+05  3.0399101e+03
   2.500e+01    5.9633645e+05  2.9916870e+03
   7.000e+00    2.3117983e+05  1.1504601e+03
