#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9694091e+05  5.0000000e+03
   1.000e+00    1.0526386e+05  5.2833575e+02
   3.000e+00    1.1151761e+05  5.5614899e+02
   5.000e+00    1.1633582e+05  5.8387287e+02
   7.000e+00    1.2374703e+05  6.1343598e+02
   9.000e+00    1.2831738e+05  6.4510753e+02
   1.100e+01    1.3586831e+05  6.8171009e+02
   1.300e+01    1.4890059e+05  7.4525539e+02
   1.500e+01    1.7044755e+05  8.4033244e+02
   1.700e+01    1.9234806e+05  9.6106983e+02
   1.900e+01    2.2105884e+05  1.0992204e+03
   2.100e+01    2.5186332e+05  1.2470690e+03
   2.300e+01    2.8064034e+05  1.3982912e+03
   2.500e+01    3.1300222e+05  1.5481121e+03
   2.700e+01    3.3908307e+05  1.6931804e+03
   2.900e+01    3.6606970e+05  1.8313268e+03
   3.100e+01    3.8977262e+05  1.9612971e+03
   3.300e+01    4.1606428e+05  2.0825077e+03
   3.500e+01    4.3878601e+05  2.1948431e+03
   3.700e+01    4.5783042e+05  2.2984982e+03
   3.900e+01    4.7489185e+05  2.3938619e+03
   4.100e+01    4.9271936e+05  2.4814342e+03
   4.300e+01    5.1460875e+05  2.5617685e+03
   4.500e+01    5.2444892e+05  2.6354334e+03
   4.700e+01    5.3375275e+05  2.7029880e+03
   4.900e+01    5.5197648e+05  2.7649665e+03
   5.100e+01    5.6608231e+05  2.8218703e+03
   5.300e+01    5.7386321e+05  2.8741633e+03
   5.500e+01    5.8694140e+05  2.9222711e+03
   5.700e+01    5.9271047e+05  2.9665814e+03
   5.900e+01    6.0127168e+05  3.0074459e+03
   6.100e+01    6.0695826e+05  3.0451824e+03
   6.300e+01    6.1759990e+05  3.0800775e+03
   6.500e+01    6.2480120e+05  3.1123896e+03
   6.700e+01    6.3019817e+05  3.1423511e+03
   6.900e+01    6.3199009e+05  3.1701711e+03
   7.100e+01    6.4334853e+05  3.1960380e+03
   7.300e+01    6.3637631e+05  3.2201211e+03
   7.500e+01    6.4658159e+05  3.2425733e+03
   7.700e+01    6.5628740e+05  3.2635321e+03
   7.900e+01    6.5273821e+05  3.2831218e+03
   3.100e+01    3.9201743e+05  1.9612971e+03
   6.700e+01    6.2819758e+05  3.1423511e+03
   5.700e+01    5.9920234e+05  2.9665814e+03
