#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9252628e+05  5.0000000e+03
   1.000e+00    5.0825512e+04  2.5436933e+02
   3.000e+00    5.3258909e+04  2.6400070e+02
   5.000e+00    5.4595784e+04  2.7390656e+02
   7.000e+00    5.6715203e+04  2.8504189e+02
   9.000e+00    5.9156962e+04  2.9430990e+02
   1.100e+01    6.0834562e+04  3.0475671e+02
   1.300e+01    6.3769727e+04  3.1759368e+02
   1.500e+01    6.5707549e+04  3.2777188e+02
   1.700e+01    6.7589240e+04  3.3609233e+02
   1.900e+01    7.0145443e+04  3.4722529e+02
   2.100e+01    7.2776300e+04  3.6498687e+02
   2.300e+01    7.8329499e+04  3.9122043e+02
   2.500e+01    8.5473998e+04  4.2639041e+02
   2.700e+01    9.4132505e+04  4.7023010e+02
   2.900e+01    1.0485248e+05  5.2210545e+02
   3.100e+01    1.1512236e+05  5.8118653e+02
   3.300e+01    1.2804443e+05  6.4653355e+02
   3.500e+01    1.4357458e+05  7.1715130e+02
   3.700e+01    1.5822139e+05  7.9203221e+02
   3.900e+01    1.7477811e+05  8.7019227e+02
   4.100e+01    1.9125066e+05  9.5070011e+02
   4.300e+01    2.0639991e+05  1.0326983e+03
   4.500e+01    2.2341629e+05  1.1154174e+03
   4.700e+01    2.3733907e+05  1.1981822e+03
   4.900e+01    2.5464601e+05  1.2804138e+03
   5.100e+01    2.7223435e+05  1.3616263e+03
   5.300e+01    2.8807758e+05  1.4414206e+03
   5.500e+01    3.0441397e+05  1.5194774e+03
   5.700e+01    3.1931504e+05  1.5955479e+03
   5.900e+01    3.3312952e+05  1.6694454e+03
   6.100e+01    3.5037006e+05  1.7410362e+03
   6.300e+01    3.6028369e+05  1.8102322e+03
   6.500e+01    3.7778918e+05  1.8769826e+03
   6.700e+01    3.8696297e+05  1.9412683e+03
   6.900e+01    4.0232231e+05  2.0030950e+03
   7.100e+01    4.1353823e+05  2.0624891e+03
   7.300e+01    4.2780093e+05  2.1194929e+03
   7.500e+01    4.3513645e+05  2.1741611e+03
   7.700e+01    4.4748824e+05  2.2265576e+03
   7.900e+01    4.5389487e+05  2.2767530e+03
   6.900e+01    4.0293599e+05  2.0030950e+03
   5.300e+01    2.8539523e+05  1.4414206e+03
   3.500e+01    1.4409240e+05  7.1715130e+02
