#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9630539e+05  5.0000000e+03
   1.000e+00    5.5268027e+05  2.7630538e+03
   3.000e+00    5.6120741e+05  2.8118174e+03
   5.000e+00    5.7177937e+05  2.8615928e+03
   7.000e+00    5.8379359e+05  2.9122146e+03
   9.000e+00    5.9199524e+05  2.9634465e+03
   1.100e+01    5.9864215e+05  3.0150026e+03
   1.300e+01    6.1238595e+05  3.0662512e+03
   1.500e+01    6.2417206e+05  3.1162998e+03
   1.700e+01    6.3610849e+05  3.1642694e+03
   1.900e+01    6.4301912e+05  3.2094789e+03
   2.100e+01    6.5604281e+05  3.2515017e+03
   2.300e+01    6.5833192e+05  3.2901456e+03
   2.500e+01    6.6184191e+05  3.3254002e+03
   2.700e+01    6.7191513e+05  3.3573812e+03
   2.900e+01    6.6867023e+05  3.3862824e+03
   3.100e+01    6.8414467e+05  3.4123391e+03
   3.300e+01    6.9056879e+05  3.4358029e+03
   3.500e+01    6.8748093e+05  3.4569247e+03
   3.700e+01    6.9581367e+05  3.4759444e+03
   3.900e+01    6.9785051e+05  3.4930852e+03
   4.100e+01    7.0423320e+05  3.5085512e+03
   4.300e+01    7.0801008e+05  3.5225265e+03
   4.500e+01    7.0464413e+05  3.5351755e+03
   4.700e+01    7.1405565e+05  3.5466445e+03
   4.900e+01    7.1001204e+05  3.5570632e+03
   5.100e+01    7.1542188e+05  3.5665459e+03
   5.300e+01    7.1653876e+05  3.5751935e+03
   5.500e+01    7.1717081e+05  3.5830949e+03
   5.700e+01    7.1825763e+05  3.5903284e+03
   5.900e+01    7.2090392e+05  3.5969633e+03
   6.100e+01    7.1735950e+05  3.6030604e+03
   6.300e+01    7.2056309e+05  3.6086736e+03
   6.500e+01    7.1892543e+05  3.6138507e+03
   6.700e+01    7.2497311e+05  3.6186338e+03
   6.900e+01    7.2565648e+05  3.6230605e+03
   7.100e+01    7.2299204e+05  3.6271641e+03
   7.300e+01    7.2473278e+05  3.6309743e+03
   7.500e+01    7.2668232e+05  3.6345175e+03
   7.700e+01    7.2525430e+05  3.6378174e+03
   7.900e+01    7.3120998e+05  3.6408952e+03
   5.500e+01    7.1806519e+05  3.5830949e+03
   4.100e+01    7.0477634e+05  3.5085512e+03
   9.000e+00    5.9334327e+05  2.9634465e+03
