#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9324289e+05  5.0000000e+03
   1.000e+00    1.1195785e+05  5.5649665e+02
   3.000e+00    1.1952917e+05  5.9572556e+02
   5.000e+00    1.2882968e+05  6.3604717e+02
   7.000e+00    1.3596068e+05  6.8207160e+02
   9.000e+00    1.4617918e+05  7.3238265e+02
   1.100e+01    1.5841448e+05  7.9444169e+02
   1.300e+01    1.7608788e+05  8.7971517e+02
   1.500e+01    1.9737953e+05  9.8915667e+02
   1.700e+01    2.2382617e+05  1.1174930e+03
   1.900e+01    2.5292486e+05  1.2578928e+03
   2.100e+01    2.7847633e+05  1.4040251e+03
   2.300e+01    3.1168300e+05  1.5507627e+03
   2.500e+01    3.3561278e+05  1.6943046e+03
   2.700e+01    3.6824313e+05  1.8320498e+03
   2.900e+01    3.9025540e+05  1.9623790e+03
   3.100e+01    4.1833128e+05  2.0844222e+03
   3.300e+01    4.4359988e+05  2.1978515e+03
   3.500e+01    4.5646178e+05  2.3027119e+03
   3.700e+01    4.7595181e+05  2.3992914e+03
   3.900e+01    4.9599800e+05  2.4880252e+03
   4.100e+01    5.1620795e+05  2.5694285e+03
   4.300e+01    5.2652135e+05  2.6440496e+03
   4.500e+01    5.4480773e+05  2.7124401e+03
   4.700e+01    5.5479261e+05  2.7751345e+03
   4.900e+01    5.6975300e+05  2.8326394e+03
   5.100e+01    5.7795756e+05  2.8854269e+03
   5.300e+01    5.8266746e+05  2.9339322e+03
   5.500e+01    5.9705334e+05  2.9785531e+03
   5.700e+01    6.0152029e+05  3.0196510e+03
   5.900e+01    6.0970280e+05  3.0575533e+03
   6.100e+01    6.2042254e+05  3.0925554e+03
   6.300e+01    6.2264173e+05  3.1249236e+03
   6.500e+01    6.2684997e+05  3.1548976e+03
   6.700e+01    6.4116742e+05  3.1826928e+03
   6.900e+01    6.3838339e+05  3.2085033e+03
   7.100e+01    6.4960805e+05  3.2325035e+03
   7.300e+01    6.4982182e+05  3.2548504e+03
   7.500e+01    6.4933201e+05  3.2756855e+03
   7.700e+01    6.6098409e+05  3.2951362e+03
   7.900e+01    6.6191886e+05  3.3133178e+03
   4.100e+01    5.1205114e+05  2.5694285e+03
   5.300e+01    5.9329819e+05  2.9339322e+03
   2.700e+01    3.6570644e+05  1.8320498e+03
