#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0064458e+06  5.0000000e+03
   1.000e+00    2.0721391e+05  1.0310736e+03
   2.000e+00    2.1327216e+05  1.0756752e+03
   3.000e+00    2.2598209e+05  1.1244380e+03
   4.000e+00    2.3462639e+05  1.1794186e+03
   5.000e+00    2.5348994e+05  1.2697567e+03
   6.000e+00    2.8067422e+05  1.4110832e+03
   7.000e+00    3.1593136e+05  1.5856422e+03
   8.000e+00    3.5602415e+05  1.7729392e+03
   9.000e+00    3.9155138e+05  1.9584795e+03
   1.000e+01    4.2748012e+05  2.1337645e+03
   1.100e+01    4.5609331e+05  2.2946229e+03
   1.200e+01    4.8477816e+05  2.4396296e+03
   1.300e+01    5.1532227e+05  2.5689477e+03
   1.400e+01    5.3964232e+05  2.6835712e+03
   1.500e+01    5.5325392e+05  2.7848621e+03
   1.600e+01    5.7451925e+05  2.8742853e+03
   1.700e+01    5.8772202e+05  2.9532654e+03
   1.800e+01    6.0325642e+05  3.0231173e+03
   1.900e+01    6.1808747e+05  3.0850186e+03
   2.000e+01    6.2432947e+05  3.1400050e+03
   2.100e+01    6.3553357e+05  3.1889773e+03
   2.200e+01    6.4584271e+05  3.2327138e+03
   2.300e+01    6.5385562e+05  3.2718847e+03
   2.400e+01    6.5679121e+05  3.3070663e+03
   2.500e+01    6.7255087e+05  3.3387535e+03
   2.600e+01    6.6857794e+05  3.3673722e+03
   2.700e+01    6.6951696e+05  3.3932892e+03
   2.800e+01    6.8444767e+05  3.4168207e+03
   2.900e+01    6.8606849e+05  3.4382403e+03
   3.000e+01    6.9002180e+05  3.4577852e+03
   3.100e+01    6.9396230e+05  3.4756612e+03
   3.200e+01    7.0083991e+05  3.4920479e+03
   3.300e+01    7.0207188e+05  3.5071020e+03
   3.400e+01    7.0055252e+05  3.5209607e+03
   3.500e+01    7.0841547e+05  3.5337445e+03
   3.600e+01    7.0946375e+05  3.5455595e+03
   3.700e+01    7.0894993e+05  3.5564992e+03
   3.800e+01    7.1421404e+05  3.5666466e+03
   3.900e+01    7.1828181e+05  3.5760749e+03
   4.000e+01    7.2024420e+05  3.5848497e+03
   1.400e+01    5.3618207e+05  2.6835712e+03
   3.900e+01    7.1745160e+05  3.5760749e+03
   2.900e+01    6.9180735e+05  3.4382403e+03
