#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9992284e+05  5.0000000e+03
   1.000e+00    1.0641180e+05  5.3120243e+02
   2.000e+00    1.1291216e+05  5.6724780e+02
   3.000e+00    1.2135868e+05  6.0370961e+02
   4.000e+00    1.3077278e+05  6.4996441e+02
   5.000e+00    1.4119549e+05  7.0059443e+02
   6.000e+00    1.5228435e+05  7.5623172e+02
   7.000e+00    1.6493257e+05  8.2468788e+02
   8.000e+00    1.8148969e+05  9.0961995e+02
   9.000e+00    2.0150049e+05  1.0100215e+03
   1.000e+01    2.2510288e+05  1.1226564e+03
   1.100e+01    2.4761760e+05  1.2435439e+03
   1.200e+01    2.7246124e+05  1.3690497e+03
   1.300e+01    2.9741707e+05  1.4958431e+03
   1.400e+01    3.2567113e+05  1.6214948e+03
   1.500e+01    3.4968396e+05  1.7439133e+03
   1.600e+01    3.7252014e+05  1.8618803e+03
   1.700e+01    3.9522568e+05  1.9743249e+03
   1.800e+01    4.1687342e+05  2.0808749e+03
   1.900e+01    4.3144387e+05  2.1811207e+03
   2.000e+01    4.5632170e+05  2.2751811e+03
   2.100e+01    4.7150606e+05  2.3630151e+03
   2.200e+01    4.9245580e+05  2.4449830e+03
   2.300e+01    5.0488432e+05  2.5212218e+03
   2.400e+01    5.1755647e+05  2.5921827e+03
   2.500e+01    5.2920896e+05  2.6580712e+03
   2.600e+01    5.4925326e+05  2.7193485e+03
   2.700e+01    5.5441477e+05  2.7762306e+03
   2.800e+01    5.6591955e+05  2.8291498e+03
   2.900e+01    5.7385326e+05  2.8783056e+03
   3.000e+01    5.8515128e+05  2.9240859e+03
   3.100e+01    5.9277402e+05  2.9666629e+03
   3.200e+01    6.0517383e+05  3.0063765e+03
   3.300e+01    6.1232351e+05  3.0433700e+03
   3.400e+01    6.1463865e+05  3.0779375e+03
   3.500e+01    6.1806891e+05  3.1101949e+03
   3.600e+01    6.2649123e+05  3.1403952e+03
   3.700e+01    6.3159798e+05  3.1686307e+03
   3.800e+01    6.4026380e+05  3.1951185e+03
   3.900e+01    6.4532969e+05  3.2199307e+03
   4.000e+01    6.5218192e+05  3.2432541e+03
   1.700e+01    3.9653729e+05  1.9743249e+03
   2.500e+01    5.3217874e+05  2.6580712e+03
   2.700e+01    5.5049635e+05  2.7762306e+03
