#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9390015e+05  5.0000000e+03
   1.000e+00    2.1251571e+05  1.0650901e+03
   2.000e+00    2.1601916e+05  1.0782278e+03
   3.000e+00    2.1980858e+05  1.0913319e+03
   4.000e+00    2.1915391e+05  1.0974967e+03
   5.000e+00    2.2122201e+05  1.1083655e+03
   6.000e+00    2.2130465e+05  1.1096035e+03
   7.000e+00    2.2903405e+05  1.1494384e+03
   8.000e+00    2.4790312e+05  1.2343614e+03
   9.000e+00    2.7264202e+05  1.3521782e+03
   1.000e+01    2.9805292e+05  1.4893329e+03
   1.100e+01    3.2630323e+05  1.6351009e+03
   1.200e+01    3.5476440e+05  1.7818920e+03
   1.300e+01    3.8484389e+05  1.9247132e+03
   1.400e+01    4.0987752e+05  2.0605272e+03
   1.500e+01    4.3635482e+05  2.1876874e+03
   1.600e+01    4.6202279e+05  2.3054919e+03
   1.700e+01    4.8301789e+05  2.4138518e+03
   1.800e+01    5.0460724e+05  2.5130568e+03
   1.900e+01    5.2168291e+05  2.6036133e+03
   2.000e+01    5.4040882e+05  2.6861382e+03
   2.100e+01    5.4980002e+05  2.7612895e+03
   2.200e+01    5.6529687e+05  2.8297237e+03
   2.300e+01    5.8391464e+05  2.8920706e+03
   2.400e+01    5.8977941e+05  2.9489196e+03
   2.500e+01    6.0040332e+05  3.0008130e+03
   2.600e+01    6.0958687e+05  3.0482444e+03
   2.700e+01    6.1664104e+05  3.0916596e+03
   2.800e+01    6.2656752e+05  3.1314592e+03
   2.900e+01    6.2929587e+05  3.1680021e+03
   3.000e+01    6.4656187e+05  3.2016086e+03
   3.100e+01    6.4640398e+05  3.2325649e+03
   3.200e+01    6.4922474e+05  3.2611263e+03
   3.300e+01    6.5934718e+05  3.2875202e+03
   3.400e+01    6.6052059e+05  3.3119498e+03
   3.500e+01    6.6475863e+05  3.3345965e+03
   3.600e+01    6.7335527e+05  3.3556224e+03
   3.700e+01    6.6618220e+05  3.3751726e+03
   3.800e+01    6.8350161e+05  3.3933771e+03
   3.900e+01    6.7945966e+05  3.4103524e+03
   4.000e+01    6.7982047e+05  3.4262035e+03
   2.400e+01    5.9188713e+05  2.9489196e+03
   2.000e+00    2.1658295e+05  1.0782278e+03
   9.000e+00    2.6981661e+05  1.3521782e+03
