sim_id,case_id,field_file,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,I0,relative_esd,noise_enabled,seed,repeated_ncyc,valid_points,nonfinite_points,skipped_count,skipped_ncyc
19,19,Data/600MHz/sim_000019_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,76;32;20,40,0,0,
20,20,Data/600MHz/sim_000020_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,48;28;18,40,0,0,
21,21,Data/600MHz/sim_000021_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,50;42;80,40,0,0,
22,22,Data/600MHz/sim_000022_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,54;10;62,40,0,0,
23,23,Data/600MHz/sim_000023_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,20;14;18,40,0,0,
24,24,Data/600MHz/sim_000024_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,64;38;80,40,0,0,
25,25,Data/600MHz/sim_000025_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,60;8;6,40,0,0,
26,26,Data/600MHz/sim_000026_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,18;8;38,40,0,0,
27,27,Data/600MHz/sim_000027_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,24;30;74,40,0,0,
28,28,Data/600MHz/sim_000028_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,20;72;12,40,0,0,
29,29,Data/600MHz/sim_000029_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,18;72;4,40,0,0,
30,30,Data/600MHz/sim_000030_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,24;30;62,40,0,0,
31,31,Data/600MHz/sim_000031_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,2;68;50,40,0,0,
32,32,Data/600MHz/sim_000032_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,74;48;36,40,0,0,
33,33,Data/600MHz/sim_000033_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,6;66;30,40,0,0,
34,34,Data/600MHz/sim_000034_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,50;78;64,40,0,0,
35,35,Data/600MHz/sim_000035_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,18;68;2,40,0,0,
36,36,Data/600MHz/sim_000036_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,48;66;42,40,0,0,
37,37,Data/600MHz/sim_000037_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,70;72;78,40,0,0,
38,38,Data/600MHz/sim_000038_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,4;52;34,40,0,0,
39,39,Data/600MHz/sim_000039_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,52;44;38,40,0,0,
40,40,Data/600MHz/sim_000040_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,54;30;60,40,0,0,
41,41,Data/600MHz/sim_000041_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,24;80;68,40,0,0,
42,42,Data/600MHz/sim_000042_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,40;58;20,40,0,0,
