#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0074860e+06  5.0000000e+03
   1.000e+00    7.2453309e+04  3.6342484e+02
   3.000e+00    7.7011768e+04  3.8760756e+02
   5.000e+00    8.8588765e+04  4.4369814e+02
   7.000e+00    9.9638788e+04  4.9517077e+02
   9.000e+00    1.0854623e+05  5.4428112e+02
   1.100e+01    1.1736345e+05  5.9416801e+02
   1.300e+01    1.3014326e+05  6.4874554e+02
   1.500e+01    1.4166974e+05  7.1206672e+02
   1.700e+01    1.5761084e+05  7.8619249e+02
   1.900e+01    1.7505828e+05  8.7112310e+02
   2.100e+01    1.9474042e+05  9.6554125e+02
   2.300e+01    2.1305454e+05  1.0674800e+03
   2.500e+01    2.3411774e+05  1.1747630e+03
   2.700e+01    2.5554119e+05  1.2852694e+03
   2.900e+01    2.7931460e+05  1.3970828e+03
   3.100e+01    3.0261118e+05  1.5085646e+03
   3.300e+01    3.2210887e+05  1.6183775e+03
   3.500e+01    3.4996731e+05  1.7254773e+03
   3.700e+01    3.6647923e+05  1.8290863e+03
   3.900e+01    3.8532281e+05  1.9286581e+03
   4.100e+01    4.0458574e+05  2.0238389e+03
   4.300e+01    4.2147656e+05  2.1144311e+03
   4.500e+01    4.3747983e+05  2.2003598e+03
   4.700e+01    4.5814483e+05  2.2816439e+03
   4.900e+01    4.7518851e+05  2.3583721e+03
   5.100e+01    4.8469371e+05  2.4306830e+03
   5.300e+01    4.9972232e+05  2.4987495e+03
   5.500e+01    5.0969546e+05  2.5627665e+03
   5.700e+01    5.2349592e+05  2.6229411e+03
   5.900e+01    5.3355397e+05  2.6794860e+03
   6.100e+01    5.4718174e+05  2.7326136e+03
   6.300e+01    5.5715783e+05  2.7825328e+03
   6.500e+01    5.6409659e+05  2.8294458e+03
   6.700e+01    5.7426333e+05  2.8735465e+03
   6.900e+01    5.8560645e+05  2.9150197e+03
   7.100e+01    5.9431417e+05  2.9540398e+03
   7.300e+01    5.9719121e+05  2.9907712e+03
   7.500e+01    6.0404519e+05  3.0253679e+03
   7.700e+01    6.1554847e+05  3.0579738e+03
   7.900e+01    6.1727092e+05  3.0887234e+03
   6.100e+01    5.4592823e+05  2.7326136e+03
   7.900e+01    6.1841724e+05  3.0887234e+03
   4.900e+01    4.7279257e+05  2.3583721e+03
