#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9884596e+05  5.0000000e+03
   1.000e+00    2.8108602e+05  1.4110318e+03
   3.000e+00    2.8194205e+05  1.4121220e+03
   5.000e+00    3.0343730e+05  1.5144930e+03
   7.000e+00    3.0721728e+05  1.5401990e+03
   9.000e+00    3.1147709e+05  1.5688419e+03
   1.100e+01    3.1558763e+05  1.5853626e+03
   1.300e+01    3.2057304e+05  1.5961273e+03
   1.500e+01    3.2701325e+05  1.6440192e+03
   1.700e+01    3.4431099e+05  1.7314378e+03
   1.900e+01    3.6987066e+05  1.8455372e+03
   2.100e+01    3.9279193e+05  1.9732715e+03
   2.300e+01    4.1900025e+05  2.1049662e+03
   2.500e+01    4.4740408e+05  2.2342953e+03
   2.700e+01    4.7116491e+05  2.3574938e+03
   2.900e+01    4.9311783e+05  2.4725722e+03
   3.100e+01    5.1465675e+05  2.5787003e+03
   3.300e+01    5.3801965e+05  2.6757682e+03
   3.500e+01    5.5372960e+05  2.7640886e+03
   3.700e+01    5.6684957e+05  2.8442035e+03
   3.900e+01    5.8211106e+05  2.9167607e+03
   4.100e+01    6.0123184e+05  2.9824395e+03
   4.300e+01    6.0769772e+05  3.0419065e+03
   4.500e+01    6.2025566e+05  3.0957911e+03
   4.700e+01    6.2991706e+05  3.1446739e+03
   4.900e+01    6.3622320e+05  3.1890825e+03
   5.100e+01    6.4647533e+05  3.2294910e+03
   5.300e+01    6.5020302e+05  3.2663232e+03
   5.500e+01    6.5915807e+05  3.2999559e+03
   5.700e+01    6.7005646e+05  3.3307233e+03
   5.900e+01    6.7128945e+05  3.3589215e+03
   6.100e+01    6.8221876e+05  3.3848126e+03
   6.300e+01    6.8248971e+05  3.4086289e+03
   6.500e+01    6.8795915e+05  3.4305757e+03
   6.700e+01    6.9067313e+05  3.4508354e+03
   6.900e+01    6.9093075e+05  3.4695699e+03
   7.100e+01    7.0119962e+05  3.4869228e+03
   7.300e+01    7.0564588e+05  3.5030223e+03
   7.500e+01    7.0476211e+05  3.5179825e+03
   7.700e+01    7.0650330e+05  3.5319053e+03
   7.900e+01    7.0820740e+05  3.5448818e+03
   5.100e+01    6.4759513e+05  3.2294910e+03
   9.000e+00    3.1549105e+05  1.5688419e+03
   2.700e+01    4.7369748e+05  2.3574938e+03
