#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9845191e+05  5.0000000e+03
   1.000e+00    3.7895680e+05  1.9006695e+03
   3.000e+00    3.8559986e+05  1.9264952e+03
   5.000e+00    4.3229521e+05  2.1659360e+03
   7.000e+00    4.9376915e+05  2.4727029e+03
   9.000e+00    5.5085643e+05  2.7649756e+03
   1.100e+01    5.9484304e+05  2.9972347e+03
   1.300e+01    6.3128874e+05  3.1713051e+03
   1.500e+01    6.6117030e+05  3.3004223e+03
   1.700e+01    6.7537082e+05  3.3969494e+03
   1.900e+01    6.9178322e+05  3.4701590e+03
   2.100e+01    7.1110957e+05  3.5265917e+03
   2.300e+01    7.1818198e+05  3.5707971e+03
   2.500e+01    7.1869017e+05  3.6059530e+03
   2.700e+01    7.2905375e+05  3.6343044e+03
   2.900e+01    7.2911379e+05  3.6574609e+03
   3.100e+01    7.4130272e+05  3.6765937e+03
   3.300e+01    7.3635088e+05  3.6925680e+03
   3.500e+01    7.4150932e+05  3.7060324e+03
   3.700e+01    7.4864389e+05  3.7174795e+03
   3.900e+01    7.4237192e+05  3.7272883e+03
   4.100e+01    7.5202419e+05  3.7357538e+03
   4.300e+01    7.4556186e+05  3.7431083e+03
   4.500e+01    7.5080038e+05  3.7495363e+03
   4.700e+01    7.4992708e+05  3.7551858e+03
   4.900e+01    7.5170257e+05  3.7601768e+03
   5.100e+01    7.5352409e+05  3.7646071e+03
   5.300e+01    7.5343124e+05  3.7685571e+03
   5.500e+01    7.5058119e+05  3.7720934e+03
   5.700e+01    7.5832587e+05  3.7752715e+03
   5.900e+01    7.5834989e+05  3.7781380e+03
   6.100e+01    7.6102295e+05  3.7807321e+03
   6.300e+01    7.6185682e+05  3.7830872e+03
   6.500e+01    7.5195909e+05  3.7852316e+03
   6.700e+01    7.6230641e+05  3.7871897e+03
   6.900e+01    7.6271355e+05  3.7889823e+03
   7.100e+01    7.5610797e+05  3.7906275e+03
   7.300e+01    7.6236221e+05  3.7921411e+03
   7.500e+01    7.6427712e+05  3.7935367e+03
   7.700e+01    7.5692043e+05  3.7948261e+03
   7.900e+01    7.5397019e+05  3.7960199e+03
   7.300e+01    7.5706481e+05  3.7921411e+03
   4.700e+01    7.6152430e+05  3.7551858e+03
   3.500e+01    7.4208206e+05  3.7060324e+03
