#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0027709e+06  5.0000000e+03
   1.000e+00    9.5378175e+04  4.7706162e+02
   3.000e+00    9.8555292e+04  4.9471829e+02
   5.000e+00    1.1077544e+05  5.5092795e+02
   7.000e+00    1.1979506e+05  5.9669773e+02
   9.000e+00    1.2783869e+05  6.3674415e+02
   1.100e+01    1.3382551e+05  6.7447135e+02
   1.300e+01    1.4232303e+05  7.1086344e+02
   1.500e+01    1.5096603e+05  7.5250631e+02
   1.700e+01    1.6249371e+05  8.0521649e+02
   1.900e+01    1.7530213e+05  8.7114479e+02
   2.100e+01    1.9037130e+05  9.4969748e+02
   2.300e+01    2.0679563e+05  1.0389051e+03
   2.500e+01    2.2798385e+05  1.1362983e+03
   2.700e+01    2.4897202e+05  1.2393713e+03
   2.900e+01    2.6749199e+05  1.3458150e+03
   3.100e+01    2.8837865e+05  1.4536237e+03
   3.300e+01    3.1029454e+05  1.5611327e+03
   3.500e+01    3.3384498e+05  1.6670148e+03
   3.700e+01    3.5584494e+05  1.7702534e+03
   3.900e+01    3.7439659e+05  1.8701040e+03
   4.100e+01    3.9721873e+05  1.9660514e+03
   4.300e+01    4.1056426e+05  2.0577683e+03
   4.500e+01    4.3270166e+05  2.1450767e+03
   4.700e+01    4.4536057e+05  2.2279146e+03
   4.900e+01    4.5937038e+05  2.3063078e+03
   5.100e+01    4.7618659e+05  2.3803465e+03
   5.300e+01    4.8668721e+05  2.4501667e+03
   5.500e+01    5.0333248e+05  2.5159358e+03
   5.700e+01    5.1700530e+05  2.5778405e+03
   5.900e+01    5.2657003e+05  2.6360787e+03
   6.100e+01    5.3992075e+05  2.6908526e+03
   6.300e+01    5.4476346e+05  2.7423637e+03
   6.500e+01    5.6094719e+05  2.7908101e+03
   6.700e+01    5.6646394e+05  2.8363831e+03
   6.900e+01    5.7741390e+05  2.8792663e+03
   7.100e+01    5.7950089e+05  2.9196344e+03
   7.300e+01    5.8981967e+05  2.9576525e+03
   7.500e+01    6.0310382e+05  2.9934761e+03
   7.700e+01    6.0427142e+05  3.0272510e+03
   7.900e+01    6.0833989e+05  3.0591137e+03
   1.900e+01    1.7246995e+05  8.7114479e+02
   2.900e+01    2.6943570e+05  1.3458150e+03
   7.500e+01    6.0141422e+05  2.9934761e+03
