sim_id,case_id,field_file,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,I0,relative_esd,noise_enabled,seed,repeated_ncyc,valid_points,nonfinite_points,skipped_count,skipped_ncyc
19,19,Data/600MHz/sim_000019_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,75;31;19,40,0,0,
20,20,Data/600MHz/sim_000020_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,47;27;17,40,0,0,
21,21,Data/600MHz/sim_000021_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,49;41;79,40,0,0,
22,22,Data/600MHz/sim_000022_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,53;9;61,40,0,0,
23,23,Data/600MHz/sim_000023_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,19;13;17,40,0,0,
24,24,Data/600MHz/sim_000024_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,63;37;79,40,0,0,
25,25,Data/600MHz/sim_000025_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,59;7;5,40,0,0,
26,26,Data/600MHz/sim_000026_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,17;7;37,40,0,0,
27,27,Data/600MHz/sim_000027_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,23;29;73,40,0,0,
28,28,Data/600MHz/sim_000028_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,19;71;11,40,0,0,
